DRAM.B,DRAM.D,DRAM.E,DRAM.F,DRAM.H,DRAM.M,DRAM.N,DRAM.P,DRAM.S,L3.B,L3.D,L3.E,L3.F,L3.H,L3.M,L3.N,L3.P,L3.S,PE.B,PE.D,PE.E,PE.F,PE.H,PE.M,PE.N,PE.P,PE.S,latency,energy,QKV.latency,QKV.energy,MHA.latency,MHA.energy,LayerNorm.latency,LayerNorm.latency,FFN.latency,FFN.energy
32,64,1,1,1,2,1,4,4,2,12,64,64,12,2,1,1,3,1,1,1,1,1,1,256,256,256,0.01644255890957447,10764218751132.098,0.001899475930851064,3131797518176.9307,0.004493176595744682,2070414941249.9988,5.1744680851063834e-06,11447380108.647936,0.010039557446808511,5539111531487.871
64,48,1,1,1,1,1,4,6,1,16,64,64,12,4,1,1,2,1,1,1,1,1,1,256,256,256,0.01665171635638298,10469434236991.465,0.002209503590425532,2874419129485.9575,0.004392306382978724,2032989593277.9602,5.1744680851063834e-06,11447380108.647936,0.010039557446808511,5539130754010.25
64,8,1,1,1,2,1,2,3,1,96,64,64,12,2,1,2,4,1,1,1,1,1,1,256,256,256,0.01651746994680851,10167846760483.092,0.0020752571808510638,2207582315276.002,0.004392306382978724,2045464709268.6396,5.1744680851063834e-06,11468259871.379969,0.010039557446808511,5891863216195.688
64,768,1,1,1,1,1,4,3,1,1,64,64,12,4,1,1,4,1,1,1,1,1,1,256,256,256,0.01665171635638298,22456503754151.547,0.002209503590425532,14861488646646.04,0.004392306382978724,2032989593277.9602,5.1744680851063834e-06,11447380108.647936,0.010039557446808511,5539130754010.25
16,128,1,1,1,4,1,4,2,4,6,64,64,12,1,1,1,6,1,1,1,1,1,1,256,256,256,0.01644255890957447,11826469874110.332,0.001899475930851064,4194058252416.355,0.004493176595744682,2070414941249.9988,5.1744680851063834e-06,11447380108.647936,0.010039557446808511,5539101920226.682
32,8,1,1,1,4,1,4,4,2,96,64,64,12,1,1,1,3,1,1,1,1,1,1,256,256,256,0.01661834015957447,9840003548231.168,0.0020752571808510638,2207582315276.002,0.004493176595744682,2070414941249.9988,5.1744680851063834e-06,11447380108.647936,0.010039557446808511,5539111531487.871
32,4,1,1,1,2,1,4,2,2,192,64,64,12,2,1,1,6,1,1,1,1,1,1,256,256,256,0.01644255890957447,9763963529817.162,0.001899475930851064,2131542296861.9966,0.004493176595744682,2070414941249.9988,5.1744680851063834e-06,11447380108.647936,0.010039557446808511,5539111531487.871
32,1,1,1,1,4,1,2,1,2,768,64,64,12,1,1,2,12,1,1,1,1,1,1,256,256,256,0.016324629787234042,10023290984904.404,0.0018824170212765959,2063036150958.5044,0.004392306382978724,2045464709268.6396,5.1744680851063834e-06,11468259871.379967,0.010039557446808511,5891853604934.499
64,2,1,1,1,2,1,2,4,1,384,64,64,12,2,1,2,3,1,1,1,1,1,1,256,256,256,0.01651746994680851,10067821238351.598,0.0020752571808510638,2107556793144.5085,0.004392306382978724,2045464709268.6396,5.1744680851063834e-06,11468259871.379967,0.010039557446808511,5891863216195.688
64,96,1,1,1,4,1,1,6,1,8,64,64,12,1,1,4,2,1,1,1,1,1,1,256,256,256,0.01717906010638298,11636437529982.639,0.002736847340425532,3688657812027.419,0.004392306382978724,2032989593277.96,5.1744680851063834e-06,11468259871.379967,0.010039557446808511,5891853604934.499
64,32,1,1,1,1,1,4,1,1,24,64,64,12,4,1,1,12,1,1,1,1,1,1,256,256,256,0.01665171635638298,10202699511307.48,0.002209503590425532,2607684403801.9756,0.004392306382978724,2032989593277.96,5.1744680851063834e-06,11447380108.647934,0.010039557446808511,5539130754010.25
64,16,1,1,1,4,1,2,6,1,48,64,64,12,1,1,2,2,1,1,1,1,1,1,256,256,256,0.01717906010638298,10319926797311.102,0.002736847340425532,2359662352104.012,0.004392306382978724,2045464709268.6396,5.1744680851063834e-06,11468259871.379967,0.010039557446808511,5891863216195.688
64,1,1,1,1,4,1,2,2,1,768,64,64,12,1,1,2,6,1,1,1,1,1,1,256,256,256,0.016324629787234042,10023300596165.594,0.0018824170212765959,2063036150958.5044,0.004392306382978724,2045464709268.6396,5.1744680851063834e-06,11468259871.379967,0.010039557446808511,5891863216195.688
32,6,1,1,1,2,1,4,12,2,128,64,64,12,2,1,1,1,1,1,1,1,1,1,256,256,256,0.01644255890957447,9797286298181.238,0.001899475930851064,2164884137572.4944,0.004493176595744682,2070414941249.9988,5.1744680851063834e-06,11447380108.647934,0.010039557446808511,5539092459141.448
64,768,1,1,1,4,1,1,3,1,1,64,64,12,1,1,4,4,1,1,1,1,1,1,256,256,256,0.01717906010638298,22823917990806.89,0.002736847340425532,14876138272851.674,0.004392306382978724,2032989593277.96,5.1744680851063834e-06,11468259871.379967,0.010039557446808511,5891853604934.499
16,12,1,1,1,4,1,4,1,4,64,64,64,12,1,1,1,12,1,1,1,1,1,1,256,256,256,0.01644255890957447,9892643112901.459,0.001899475930851064,2260231491207.483,0.004493176595744682,2070414941249.9988,5.1744680851063834e-06,11447380108.647934,0.010039557446808511,5539101920226.682
32,3,1,1,1,4,1,4,12,2,256,64,64,12,1,1,1,1,1,1,1,1,1,1,256,256,256,0.01661834015957447,9756629874108.5,0.0020752571808510638,2124227713499.7573,0.004493176595744682,2070414941249.9988,5.1744680851063834e-06,11447380108.647934,0.010039557446808511,5539092459141.448
64,384,1,1,1,4,1,2,3,1,2,64,64,12,1,1,2,4,1,1,1,1,1,1,256,256,256,0.01717906010638298,16454825488042.697,0.002736847340425532,8494561042835.605,0.004392306382978724,2045464709268.6396,5.1744680851063834e-06,11468259871.379967,0.010039557446808511,5891863216195.688
32,64,1,1,1,2,1,4,1,2,12,64,64,12,2,1,1,12,1,1,1,1,1,1,256,256,256,0.01644255890957447,10764218751132.098,0.001899475930851064,3131797518176.9307,0.004493176595744682,2070414941249.9988,5.1744680851063834e-06,11447380108.647934,0.010039557446808511,5539111531487.871
32,64,1,1,1,4,1,4,2,2,12,64,64,12,1,1,1,6,1,1,1,1,1,1,256,256,256,0.01661834015957447,10773575088125.105,0.0020752571808510638,3141153855169.94,0.004493176595744682,2070414941249.9988,5.1744680851063834e-06,11447380108.647934,0.010039557446808511,5539111531487.871
64,4,1,1,1,2,1,2,1,1,192,64,64,12,2,1,2,12,1,1,1,1,1,1,256,256,256,0.01651746994680851,10101163079062.096,0.0020752571808510638,2140898633855.0063,0.004392306382978724,2045464709268.6396,5.1744680851063834e-06,11468259871.379967,0.010039557446808511,5891863216195.688
64,256,1,1,1,4,1,2,3,1,3,64,64,12,1,1,2,4,1,1,1,1,1,1,256,256,256,0.01717906010638298,14320947682570.836,0.002736847340425532,6360683237363.747,0.004392306382978724,2045464709268.6396,5.1744680851063834e-06,11468259871.379967,0.010039557446808511,5891863216195.688
