DRAM.B,DRAM.D,DRAM.E,DRAM.F,DRAM.H,DRAM.M,DRAM.N,DRAM.P,DRAM.S,L3.B,L3.D,L3.E,L3.F,L3.H,L3.M,L3.N,L3.P,L3.S,PE.B,PE.D,PE.E,PE.F,PE.H,PE.M,PE.N,PE.P,PE.S,latency,energy,QKV.latency,QKV.energy,MHA.latency,MHA.energy,LayerNorm.latency,LayerNorm.energy,FFN.latency,FFN.energy
64,6,1,1,1,1024,1,4096,4,1,128,64,64,12,4,1,1,3,1,1,1,1,1,1,256,256,256,4504.887476153192,2.2227313323679014e+18,2.262531676595745,2226422245955076.2,4492.333840340426,2.214809994703007e+18,0.005298655319148937,11722117231255.484,10.280506825531916,5671471184476675.0
32,48,1,1,1,2048,1,4096,1,2,16,64,64,12,2,1,1,12,1,1,1,1,1,1,256,256,256,4504.570007829788,2.2234387147375962e+18,1.9450633531914896,2933824299512779.0,4492.333840340426,2.214809994703007e+18,0.005298655319148937,11722117231255.484,10.280506825531916,5671451500613759.0
64,48,1,1,1,4096,1,4096,4,1,16,64,64,12,1,1,1,3,1,1,1,1,1,1,256,256,256,4505.744944476596,2.222330219536535e+18,3.12,2972147855836146.5,4492.333840340426,2.2136631562617595e+18,0.005298655319148937,11722117231255.484,10.280506825531916,5671471184476675.0
64,6,1,1,1,4096,1,4096,1,1,128,64,64,12,1,1,1,12,1,1,1,1,1,1,256,256,256,4505.744944476596,2.2216132365938964e+18,3.12,2255164913197602.0,4492.333840340426,2.2136631562617595e+18,0.005298655319148937,11722117231255.484,10.280506825531916,5671471184476675.0
64,128,1,1,1,1024,1,4096,6,1,6,64,64,12,4,1,1,2,1,1,1,1,1,1,256,256,256,4504.887476153192,2.2248139971060419e+18,2.262531676595745,4309086984095610.5,4492.333840340426,2.214809994703007e+18,0.005298655319148937,11722117231255.484,10.280506825531916,5671471184476675.0
32,2,1,1,1,4096,1,2048,3,2,384,64,64,12,1,1,2,4,1,1,1,1,1,1,256,256,256,4398.979923608511,2.1968572743446008e+18,2.1250633531914893,2153347711639555.8,4386.563756119149,2.1886477802529213e+18,0.005298655319148937,11743498108293.086,10.280506825531916,6032659383823106.0
64,384,1,1,1,1024,1,4096,4,1,2,64,64,12,4,1,1,3,1,1,1,1,1,1,256,256,256,4504.887476153192,2.2291841788516483e+18,2.262531676595745,8679268729701978.0,4492.333840340426,2.214809994703007e+18,0.005298655319148937,11722117231255.484,10.280506825531916,5671471184476675.0
64,12,1,1,1,1024,1,4096,12,1,64,64,64,12,4,1,1,1,1,1,1,1,1,1,256,256,256,4504.887476153192,2.2228337191349885e+18,2.262531676595745,2328848380617725.5,4492.333840340426,2.214809994703007e+18,0.005298655319148937,11722117231255.484,10.280506825531916,5671431816901019.0
64,768,1,1,1,4096,1,1024,2,1,1,64,64,12,1,1,4,6,1,1,1,1,1,1,256,256,256,4399.657391931915,2.1968559849993185e+18,2.802531676595745,1.5233165591400114e+16,4386.563756119149,2.1755666730278784e+18,0.005298655319148937,11743498108293.086,10.280506825531916,6032659383823106.0
64,1,1,1,1,4096,1,2048,6,1,768,64,64,12,1,1,2,2,1,1,1,1,1,1,256,256,256,4398.782455285106,2.195669422719428e+18,1.9275950297872342,2112324685782824.5,4386.563756119149,2.1875009418116739e+18,0.005298655319148937,11743498108293.086,10.280506825531916,6032669225754564.0
64,128,1,1,1,2048,1,4096,1,1,6,64,64,12,2,1,1,12,1,1,1,1,1,1,256,256,256,4505.067476153192,2.2236767395538755e+18,2.4425316765957445,4318667873176452.5,4492.333840340426,2.2136631562617595e+18,0.005298655319148937,11722117231255.484,10.280506825531916,5671471184476675.0
