DRAM.B,DRAM.D,DRAM.E,DRAM.F,DRAM.H,DRAM.M,DRAM.N,DRAM.P,DRAM.S,L3.B,L3.D,L3.E,L3.F,L3.H,L3.M,L3.N,L3.P,L3.S,PE.B,PE.D,PE.E,PE.F,PE.H,PE.M,PE.N,PE.P,PE.S,latency,energy,QKV.latency,QKV.energy,MHA.latency,MHA.energy,LayerNorm.latency,LayerNorm.energy,FFN.latency,FFN.energy
64,24,1,1,1,512,1,512,4,1,32,64,64,12,2,1,2,3,1,1,1,1,1,1,256,256,256,277.3044348595745,1.382942789378806e+17,0.5312658382978723,633425162485756.0,274.20039298723407,1.3614681428096685e+17,0.0013246638297872342,2935874527073.2715,2.570126706382979,1508167745373853.5
32,64,1,1,1,1024,1,1024,1,2,12,64,64,12,1,1,1,12,1,1,1,1,1,1,256,256,256,283.91506512340436,1.3972318842849414e+17,0.5312658382978723,804135386923504.6,280.8110232510639,1.3749532866886637e+17,0.0013246638297872342,2930529307813.871,2.570126706382979,1417863314088652.2
16,6,1,1,1,1024,1,1024,3,4,128,64,64,12,1,1,1,4,1,1,1,1,1,1,256,256,256,283.8700651234043,1.3975868732440206e+17,0.4862658382978724,553012728083453.3,280.8110232510639,1.377819526840972e+17,0.0013246638297872342,2930529307813.871,2.570126706382979,1417860853605787.8
32,96,1,1,1,1024,1,1024,2,2,8,64,64,12,1,1,1,6,1,1,1,1,1,1,256,256,256,283.91506512340436,1.3985975660804434e+17,0.5312658382978723,940703566473703.6,280.8110232510639,1.3749532866886637e+17,0.0013246638297872342,2930529307813.871,2.570126706382979,1417863314088652.2
32,64,1,1,1,1024,1,1024,12,2,12,64,64,12,1,1,1,1,1,1,1,1,1,1,256,256,256,283.91506512340436,1.397231835076786e+17,0.5312658382978723,804135386923504.6,280.8110232510639,1.3749532866886637e+17,0.0013246638297872342,2930529307813.871,2.570126706382979,1417858393273099.2
64,6,1,1,1,1024,1,512,3,1,128,64,64,12,1,1,2,4,1,1,1,1,1,1,256,256,256,277.4738019404256,1.379356257661932e+17,0.7006329191489362,561396006029190.0,274.20039298723407,1.3586019026573602e+17,0.0013246638297872342,2935874527073.2715,2.570126706382979,1508167745373853.5
64,64,1,1,1,1024,1,1024,12,1,12,64,64,12,1,1,1,1,1,1,1,1,1,1,256,256,256,284.1637992851064,1.3973036917448923e+17,0.78,811321053734136.1,280.8110232510639,1.3749532866886637e+17,0.0013246638297872342,2930529307813.871,2.570126706382979,1417858393273099.2
16,4,1,1,1,1024,1,1024,1,4,192,64,64,12,1,1,1,12,1,1,1,1,1,1,256,256,256,283.8700651234043,1.3975015181318018e+17,0.4862658382978724,544477216861565.9,280.8110232510639,1.377819526840972e+17,0.0013246638297872342,2930529307813.871,2.570126706382979,1417860853605787.8
64,256,1,1,1,512,1,512,2,1,3,64,64,12,2,1,2,6,1,1,1,1,1,1,256,256,256,277.3044348595745,1.3928439823961955e+17,0.5312658382978723,1623544464224698.5,274.20039298723407,1.3614681428096685e+17,0.0013246638297872342,2935874527073.2715,2.570126706382979,1508167745373853.5
32,32,1,1,1,512,1,1024,3,2,24,64,64,12,2,1,1,4,1,1,1,1,1,1,256,256,256,283.8700651234043,1.3987084904190456e+17,0.4862658382978724,665171985103095.2,280.8110232510639,1.377819526840972e+17,0.0013246638297872342,2930529307813.871,2.570126706382979,1417863314088652.2
64,16,1,1,1,1024,1,1024,3,1,48,64,64,12,1,1,1,4,1,1,1,1,1,1,256,256,256,284.1637992851064,1.395255267469452e+17,0.78,606468784408837.6,280.8110232510639,1.3749532866886637e+17,0.0013246638297872342,2930529307813.871,2.570126706382979,1417868235054381.2
32,256,1,1,1,512,1,1024,4,2,3,64,64,12,2,1,1,3,1,1,1,1,1,1,256,256,256,283.8700651234043,1.4082682629875595e+17,0.4862658382978724,1621149241954488.0,280.8110232510639,1.377819526840972e+17,0.0013246638297872342,2930529307813.871,2.570126706382979,1417863314088652.2
32,96,1,1,1,1024,1,512,1,2,8,64,64,12,1,1,2,12,1,1,1,1,1,1,256,256,256,277.3044348595745,1.3860035727025058e+17,0.5312658382978723,939505955338598.4,274.20039298723407,1.3614681428096685e+17,0.0013246638297872342,2935874527073.2715,2.570126706382979,1508165284890989.0
64,6,1,1,1,256,1,1024,1,1,128,64,64,12,4,1,1,12,1,1,1,1,1,1,256,256,256,283.94943220425534,1.3976228753925597e+17,0.5656329191489362,556605561488769.06,280.8110232510639,1.377819526840972e+17,0.0013246638297872342,2930529307813.871,2.570126706382979,1417868235054381.2
32,192,1,1,1,1024,1,1024,3,2,4,64,64,12,1,1,1,4,1,1,1,1,1,1,256,256,256,283.91506512340436,1.4026946114669494e+17,0.5312658382978723,1350408105124300.5,280.8110232510639,1.3749532866886637e+17,0.0013246638297872342,2930529307813.871,2.570126706382979,1417863314088652.2
32,768,1,1,1,512,1,1024,1,2,1,64,64,12,2,1,1,12,1,1,1,1,1,1,256,256,256,283.8700651234043,1.430087677534926e+17,0.4862658382978724,3803090696691136.5,280.8110232510639,1.377819526840972e+17,0.0013246638297872342,2930529307813.871,2.570126706382979,1417863314088652.2
64,256,1,1,1,512,1,512,6,1,3,64,64,12,2,1,2,2,1,1,1,1,1,1,256,256,256,277.3044348595745,1.3928439823961955e+17,0.5312658382978723,1623544464224698.5,274.20039298723407,1.3614681428096685e+17,0.0013246638297872342,2935874527073.2715,2.570126706382979,1508167745373853.5
64,12,1,1,1,1024,1,1024,6,1,64,64,64,12,1,1,1,2,1,1,1,1,1,1,256,256,256,284.1637992851064,1.3950845572450142e+17,0.78,589397761965062.8,280.8110232510639,1.3749532866886637e+17,0.0013246638297872342,2930529307813.871,2.570126706382979,1417868235054381.2
64,32,1,1,1,1024,1,256,3,1,24,64,64,12,1,1,4,4,1,1,1,1,1,1,256,256,256,277.4738019404256,1.3751444215412542e+17,0.7006329191489362,671160040778621.4,274.20039298723407,1.3532924507940166e+17,0.0013246638297872342,2935874527073.2715,2.570126706382979,1508165284890989.0
16,1,1,1,1,1024,1,1024,1,4,768,64,64,12,1,1,1,12,1,1,1,1,1,1,256,256,256,283.8656980425533,1.3973375593223117e+17,0.48189875744680855,528081335912567.3,280.8110232510639,1.377819526840972e+17,0.0013246638297872342,2930529307813.871,2.570126706382979,1417860853605787.8
64,32,1,1,1,512,1,512,2,1,24,64,64,12,2,1,2,6,1,1,1,1,1,1,256,256,256,277.3044348595745,1.3832842098276816e+17,0.5312658382978723,667567207373305.8,274.20039298723407,1.3614681428096685e+17,0.0013246638297872342,2935874527073.2715,2.570126706382979,1508167745373853.5
64,12,1,1,1,512,1,1024,6,1,64,64,64,12,2,1,1,2,1,1,1,1,1,1,256,256,256,283.9944322042554,1.3950366527996101e+17,0.6106329191489361,584607317424641.9,280.8110232510639,1.3749532866886637e+17,0.0013246638297872342,2930529307813.871,2.570126706382979,1417868235054381.2
64,128,1,1,1,1024,1,512,4,1,6,64,64,12,1,1,2,3,1,1,1,1,1,1,256,256,256,277.4738019404256,1.3845629195072834e+17,0.7006329191489362,1082062190564323.5,274.20039298723407,1.3586019026573602e+17,0.0013246638297872342,2935874527073.2715,2.570126706382979,1508167745373853.5
64,16,1,1,1,512,1,1024,4,1,48,64,64,12,2,1,1,3,1,1,1,1,1,1,256,256,256,283.9944322042554,1.3952073630240478e+17,0.6106329191489361,601678339868416.8,280.8110232510639,1.3749532866886637e+17,0.0013246638297872342,2930529307813.871,2.570126706382979,1417868235054381.2
64,2,1,1,1,1024,1,1024,6,1,384,64,64,12,1,1,1,2,1,1,1,1,1,1,256,256,256,284.1637992851064,1.39465778168392e+17,0.78,546720205855625.6,280.8110232510639,1.3749532866886637e+17,0.0013246638297872342,2930529307813.871,2.570126706382979,1417868235054381.2
32,384,1,1,1,1024,1,512,1,2,2,64,64,12,1,1,2,12,1,1,1,1,1,1,256,256,256,277.3044348595745,1.3982947088620237e+17,0.5312658382978723,2168619571290389.0,274.20039298723407,1.3614681428096685e+17,0.0013246638297872342,2935874527073.2715,2.570126706382979,1508165284890989.0
64,24,1,1,1,1024,1,256,1,1,32,64,64,12,1,1,4,12,1,1,1,1,1,1,256,256,256,277.4738019404256,1.3748030010923787e+17,0.7006329191489362,637017995891071.6,274.20039298723407,1.3532924507940166e+17,0.0013246638297872342,2935874527073.2715,2.570126706382979,1508165284890989.0
64,2,1,1,1,512,1,1024,3,1,384,64,64,12,2,1,1,4,1,1,1,1,1,1,256,256,256,283.9944322042554,1.3946098772385157e+17,0.6106329191489361,541929761315204.6,280.8110232510639,1.3749532866886637e+17,0.0013246638297872342,2930529307813.871,2.570126706382979,1417868235054381.2
64,128,1,1,1,512,1,512,6,1,6,64,64,12,2,1,2,2,1,1,1,1,1,1,256,256,256,277.3044348595745,1.3873812552141875e+17,0.5312658382978723,1077271746023902.6,274.20039298723407,1.3614681428096685e+17,0.0013246638297872342,2935874527073.2715,2.570126706382979,1508167745373853.5
32,192,1,1,1,512,1,1024,3,2,4,64,64,12,2,1,1,4,1,1,1,1,1,1,256,256,256,283.8700651234043,1.4055368993965557e+17,0.4862658382978724,1348012882854090.0,280.8110232510639,1.377819526840972e+17,0.0013246638297872342,2930529307813.871,2.570126706382979,1417863314088652.2
64,3,1,1,1,1024,1,512,2,1,256,64,64,12,1,1,2,6,1,1,1,1,1,1,256,256,256,277.4738019404256,1.3792282249936037e+17,0.7006329191489362,548592739196358.8,274.20039298723407,1.3586019026573602e+17,0.0013246638297872342,2935874527073.2715,2.570126706382979,1508167745373853.5
64,4,1,1,1,512,1,512,2,1,192,64,64,12,2,1,2,6,1,1,1,1,1,1,256,256,256,277.3044348595745,1.3820892382566173e+17,0.5312658382978723,548070050266881.6,274.20039298723407,1.3614681428096685e+17,0.0013246638297872342,2935874527073.2715,2.570126706382979,1508167745373853.5
64,96,1,1,1,256,1,1024,1,1,8,64,64,12,4,1,1,12,1,1,1,1,1,1,256,256,256,283.94943220425534,1.401463855442409e+17,0.5656329191489362,940703566473703.6,280.8110232510639,1.377819526840972e+17,0.0013246638297872342,2930529307813.871,2.570126706382979,1417868235054381.2
