DRAM.B,DRAM.D,DRAM.E,DRAM.F,DRAM.H,DRAM.M,DRAM.N,DRAM.P,DRAM.S,L3.B,L3.D,L3.E,L3.F,L3.H,L3.M,L3.N,L3.P,L3.S,PE.B,PE.D,PE.E,PE.F,PE.H,PE.M,PE.N,PE.P,PE.S,latency,energy,QKV.latency,QKV.energy,MHA.latency,MHA.energy,LayerNorm.latency,LayerNorm.energy,FFN.latency,FFN.energy
64,256,1,1,1,64,1,64,64,1,16,128,128,32,1,1,1,1,1,1,1,1,1,1,256,256,256,10.490622365957448,9191983317375500.0,1.04,1316747947827952.0,3.5824051744680854,2689724732597558.0,0.00041831489361702134,975447322843.349,2.2845570723404256,2492859562383902.5
64,1024,1,1,1,64,1,64,32,1,4,128,128,32,1,1,1,2,1,1,1,1,1,1,256,256,256,10.490622365957448,1.0284532033619974e+16,1.04,2409293384229544.0,3.5824051744680854,2689724732597558.0,0.00041831489361702134,975447322843.349,2.2845570723404256,2492862842226783.0
64,4096,1,1,1,64,1,64,16,1,1,128,128,32,1,1,1,4,1,1,1,1,1,1,256,256,256,10.490622365957448,1.4645265525026734e+16,1.04,6770026875636306.0,3.5824051744680854,2689724732597558.0,0.00041831489361702134,975447322843.349,2.2845570723404256,2492862842226783.0
64,512,1,1,1,64,1,64,32,1,8,128,128,32,1,1,1,2,1,1,1,1,1,1,256,256,256,10.490622365957448,9556168409352246.0,1.04,1680929759961816.0,3.5824051744680854,2689724732597558.0,0.00041831489361702134,975447322843.349,2.2845570723404256,2492862842226783.0
64,128,1,1,1,64,1,64,32,1,32,128,128,32,1,1,1,2,1,1,1,1,1,1,256,256,256,10.490622365957448,9009895691151450.0,1.04,1134657041761020.2,3.5824051744680854,2689724732597558.0,0.00041831489361702134,975447322843.349,2.2845570723404256,2492862842226783.0
64,128,1,1,1,64,1,64,64,1,32,128,128,32,1,1,1,1,1,1,1,1,1,1,256,256,256,10.490622365957448,9009892411308568.0,1.04,1134657041761020.2,3.5824051744680854,2689724732597558.0,0.00041831489361702134,975447322843.349,2.2845570723404256,2492859562383902.5
64,256,1,1,1,64,1,64,64,1,16,128,128,32,1,1,1,1,1,1,1,1,1,1,256,256,256,10.490622365957448,9191983317375500.0,1.04,1316747947827952.0,3.5824051744680854,2689724732597558.0,0.00041831489361702134,975447322843.349,2.2845570723404256,2492859562383902.5
64,256,1,1,1,64,1,64,32,1,16,128,128,32,1,1,1,2,1,1,1,1,1,1,256,256,256,10.490622365957448,9191986597218382.0,1.04,1316747947827952.0,3.5824051744680854,2689724732597558.0,0.00041831489361702134,975447322843.349,2.2845570723404256,2492862842226783.0
64,4096,1,1,1,64,1,64,32,1,1,128,128,32,1,1,1,2,1,1,1,1,1,1,256,256,256,10.490622365957448,1.4645265525026734e+16,1.04,6770026875636306.0,3.5824051744680854,2689724732597558.0,0.00041831489361702134,975447322843.349,2.2845570723404256,2492862842226783.0
64,512,1,1,1,64,1,64,64,1,8,128,128,32,1,1,1,1,1,1,1,1,1,1,256,256,256,10.490622365957448,9556165129509364.0,1.04,1680929759961816.0,3.5824051744680854,2689724732597558.0,0.00041831489361702134,975447322843.349,2.2845570723404256,2492859562383902.5
64,256,1,1,1,64,1,64,64,1,16,128,128,32,1,1,1,1,1,1,1,1,1,1,256,256,256,10.490622365957448,9191983317375500.0,1.04,1316747947827952.0,3.5824051744680854,2689724732597558.0,0.00041831489361702134,975447322843.349,2.2845570723404256,2492859562383902.5
64,2048,1,1,1,64,1,64,32,1,2,128,128,32,1,1,1,2,1,1,1,1,1,1,256,256,256,10.490622365957448,1.174125928215543e+16,1.04,3866020632765000.0,3.5824051744680854,2689724732597558.0,0.00041831489361702134,975447322843.349,2.2845570723404256,2492862842226783.0
64,64,1,1,1,64,1,64,64,1,64,128,128,32,1,1,1,1,1,1,1,1,1,1,256,256,256,10.490622365957448,8918846958275103.0,1.04,1043611588727554.2,3.5824051744680854,2689724732597558.0,0.00041831489361702134,975447322843.349,2.2845570723404256,2492859562383902.5
64,16,1,1,1,64,1,64,16,1,256,128,128,32,1,1,1,4,1,1,1,1,1,1,256,256,256,10.490622365957448,8850566148342884.0,1.04,975327498952454.8,3.5824051744680854,2689724732597558.0,0.00041831489361702134,975447322843.349,2.2845570723404256,2492862842226783.0
64,256,1,1,1,64,1,64,16,1,16,128,128,32,1,1,1,4,1,1,1,1,1,1,256,256,256,10.490622365957448,9191986597218382.0,1.04,1316747947827952.0,3.5824051744680854,2689724732597558.0,0.00041831489361702134,975447322843.349,2.2845570723404256,2492862842226783.0
64,32,1,1,1,64,1,64,64,1,128,128,128,32,1,1,1,1,1,1,1,1,1,1,256,256,256,10.490622365957448,8873324231758370.0,1.04,998088862210821.2,3.5824051744680854,2689724732597558.0,0.00041831489361702134,975447322843.349,2.2845570723404256,2492859562383902.5
64,64,1,1,1,64,1,64,32,1,64,128,128,32,1,1,1,2,1,1,1,1,1,1,256,256,256,10.490622365957448,8918850238117984.0,1.04,1043611588727554.2,3.5824051744680854,2689724732597558.0,0.00041831489361702134,975447322843.349,2.2845570723404256,2492862842226783.0
64,1024,1,1,1,64,1,64,32,1,4,128,128,32,1,1,1,2,1,1,1,1,1,1,256,256,256,10.490622365957448,1.0284532033619974e+16,1.04,2409293384229544.0,3.5824051744680854,2689724732597558.0,0.00041831489361702134,975447322843.349,2.2845570723404256,2492862842226783.0
