DRAM.B,DRAM.D,DRAM.E,DRAM.F,DRAM.H,DRAM.M,DRAM.N,DRAM.P,DRAM.S,L3.B,L3.D,L3.E,L3.F,L3.H,L3.M,L3.N,L3.P,L3.S,PE.B,PE.D,PE.E,PE.F,PE.H,PE.M,PE.N,PE.P,PE.S,latency,energy,QKV.latency,QKV.energy,MHA.latency,MHA.energy,LayerNorm.latency,LayerNorm.energy,FFN.latency,FFN.energy
64,1024,1,1,1,4096,1,4096,32,1,4,128,128,32,1,1,1,2,1,1,1,1,1,1,256,256,256,29415.98806277447,2.2673280301465047e+19,66.56,1.541947765906908e+17,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954217383287258e+17
64,16,1,1,1,4096,1,4096,64,1,256,128,128,32,1,1,1,1,1,1,1,1,1,1,256,256,256,29415.98806277447,2.2581506274846904e+19,66.56,6.24209599329571e+16,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954196387246906e+17
64,16,1,1,1,4096,1,4096,32,1,256,128,128,32,1,1,1,2,1,1,1,1,1,1,256,256,256,29415.98806277447,2.258150648480731e+19,66.56,6.24209599329571e+16,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954217383287258e+17
64,64,1,1,1,4096,1,4096,64,1,64,128,128,32,1,1,1,1,1,1,1,1,1,1,256,256,256,29415.98806277447,2.258587645659251e+19,66.56,6.679114167856347e+16,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954196387246906e+17
64,16,1,1,1,4096,1,4096,32,1,256,128,128,32,1,1,1,2,1,1,1,1,1,1,256,256,256,29415.98806277447,2.258150648480731e+19,66.56,6.24209599329571e+16,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954217383287258e+17
64,1024,1,1,1,4096,1,4096,16,1,4,128,128,32,1,1,1,4,1,1,1,1,1,1,256,256,256,29415.98806277447,2.2673280301465047e+19,66.56,1.541947765906908e+17,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954217383287258e+17
64,32,1,1,1,4096,1,4096,16,1,128,128,128,32,1,1,1,4,1,1,1,1,1,1,256,256,256,29415.98806277447,2.2582963212055847e+19,66.56,6.387768718149256e+16,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954217383287258e+17
64,128,1,1,1,4096,1,4096,32,1,32,128,128,32,1,1,1,2,1,1,1,1,1,1,256,256,256,29415.98806277447,2.259170357554706e+19,66.56,7.26180506727053e+16,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954217383287258e+17
64,128,1,1,1,4096,1,4096,32,1,32,128,128,32,1,1,1,2,1,1,1,1,1,1,256,256,256,29415.98806277447,2.259170357554706e+19,66.56,7.26180506727053e+16,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954217383287258e+17
64,128,1,1,1,4096,1,4096,64,1,32,128,128,32,1,1,1,1,1,1,1,1,1,1,256,256,256,29415.98806277447,2.2591703365586653e+19,66.56,7.26180506727053e+16,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954196387246906e+17
64,128,1,1,1,4096,1,4096,64,1,32,128,128,32,1,1,1,1,1,1,1,1,1,1,256,256,256,29415.98806277447,2.2591703365586653e+19,66.56,7.26180506727053e+16,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954196387246906e+17
64,256,1,1,1,4096,1,4096,32,1,16,128,128,32,1,1,1,2,1,1,1,1,1,1,256,256,256,29415.98806277447,2.2603357393535345e+19,66.56,8.427186866098893e+16,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954217383287258e+17
64,16,1,1,1,4096,1,4096,32,1,256,128,128,32,1,1,1,2,1,1,1,1,1,1,256,256,256,29415.98806277447,2.258150648480731e+19,66.56,6.24209599329571e+16,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954217383287258e+17
64,128,1,1,1,4096,1,4096,32,1,32,128,128,32,1,1,1,2,1,1,1,1,1,1,256,256,256,29415.98806277447,2.259170357554706e+19,66.56,7.26180506727053e+16,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954217383287258e+17
64,64,1,1,1,4096,1,4096,64,1,64,128,128,32,1,1,1,1,1,1,1,1,1,1,256,256,256,29415.98806277447,2.258587645659251e+19,66.56,6.679114167856347e+16,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954196387246906e+17
64,2048,1,1,1,4096,1,4096,32,1,2,128,128,32,1,1,1,2,1,1,1,1,1,1,256,256,256,29415.98806277447,2.2766510845371314e+19,66.56,2.4742532049696e+17,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954217383287258e+17
64,16,1,1,1,4096,1,4096,64,1,256,128,128,32,1,1,1,1,1,1,1,1,1,1,256,256,256,29415.98806277447,2.2581506274846904e+19,66.56,6.24209599329571e+16,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954196387246906e+17
64,4096,1,1,1,4096,1,4096,64,1,1,128,128,32,1,1,1,1,1,1,1,1,1,1,256,256,256,29415.98806277447,2.295236703495467e+19,66.56,4.332817200407236e+17,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954196387246906e+17
64,16,1,1,1,4096,1,4096,32,1,256,128,128,32,1,1,1,2,1,1,1,1,1,1,256,256,256,29415.98806277447,2.258150648480731e+19,66.56,6.24209599329571e+16,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954217383287258e+17
64,4096,1,1,1,4096,1,4096,32,1,1,128,128,32,1,1,1,2,1,1,1,1,1,1,256,256,256,29415.98806277447,2.2952367244915077e+19,66.56,4.332817200407236e+17,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954217383287258e+17
64,128,1,1,1,4096,1,4096,32,1,32,128,128,32,1,1,1,2,1,1,1,1,1,1,256,256,256,29415.98806277447,2.259170357554706e+19,66.56,7.26180506727053e+16,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954217383287258e+17
64,32,1,1,1,4096,1,4096,16,1,128,128,128,32,1,1,1,4,1,1,1,1,1,1,256,256,256,29415.98806277447,2.2582963212055847e+19,66.56,6.387768718149256e+16,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954217383287258e+17
64,256,1,1,1,4096,1,4096,64,1,16,128,128,32,1,1,1,1,1,1,1,1,1,1,256,256,256,29415.98806277447,2.2603357183574938e+19,66.56,8.427186866098893e+16,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954196387246906e+17
64,16,1,1,1,4096,1,4096,16,1,256,128,128,32,1,1,1,4,1,1,1,1,1,1,256,256,256,29415.98806277447,2.258150648480731e+19,66.56,6.24209599329571e+16,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954217383287258e+17
64,1024,1,1,1,4096,1,4096,64,1,4,128,128,32,1,1,1,1,1,1,1,1,1,1,256,256,256,29415.98806277447,2.267328009150464e+19,66.56,1.541947765906908e+17,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954196387246906e+17
64,256,1,1,1,4096,1,4096,32,1,16,128,128,32,1,1,1,2,1,1,1,1,1,1,256,256,256,29415.98806277447,2.2603357393535345e+19,66.56,8.427186866098893e+16,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954217383287258e+17
64,4096,1,1,1,4096,1,4096,64,1,1,128,128,32,1,1,1,1,1,1,1,1,1,1,256,256,256,29415.98806277447,2.295236703495467e+19,66.56,4.332817200407236e+17,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954196387246906e+17
64,512,1,1,1,4096,1,4096,32,1,8,128,128,32,1,1,1,2,1,1,1,1,1,1,256,256,256,29415.98806277447,2.262666502951191e+19,66.56,1.0757950463755622e+17,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954217383287258e+17
64,4096,1,1,1,4096,1,4096,32,1,1,128,128,32,1,1,1,2,1,1,1,1,1,1,256,256,256,29415.98806277447,2.2952367244915077e+19,66.56,4.332817200407236e+17,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954217383287258e+17
64,256,1,1,1,4096,1,4096,64,1,16,128,128,32,1,1,1,1,1,1,1,1,1,1,256,256,256,29415.98806277447,2.2603357183574938e+19,66.56,8.427186866098893e+16,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954196387246906e+17
64,512,1,1,1,4096,1,4096,16,1,8,128,128,32,1,1,1,4,1,1,1,1,1,1,256,256,256,29415.98806277447,2.262666502951191e+19,66.56,1.0757950463755622e+17,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954217383287258e+17
64,1024,1,1,1,4096,1,4096,32,1,4,128,128,32,1,1,1,2,1,1,1,1,1,1,256,256,256,29415.98806277447,2.2673280301465047e+19,66.56,1.541947765906908e+17,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954217383287258e+17
64,4096,1,1,1,4096,1,4096,64,1,1,128,128,32,1,1,1,1,1,1,1,1,1,1,256,256,256,29415.98806277447,2.295236703495467e+19,66.56,4.332817200407236e+17,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954196387246906e+17
64,256,1,1,1,4096,1,4096,16,1,16,128,128,32,1,1,1,4,1,1,1,1,1,1,256,256,256,29415.98806277447,2.2603357393535345e+19,66.56,8.427186866098893e+16,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954217383287258e+17
64,4096,1,1,1,4096,1,4096,64,1,1,128,128,32,1,1,1,1,1,1,1,1,1,1,256,256,256,29415.98806277447,2.295236703495467e+19,66.56,4.332817200407236e+17,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954196387246906e+17
64,128,1,1,1,4096,1,4096,64,1,32,128,128,32,1,1,1,1,1,1,1,1,1,1,256,256,256,29415.98806277447,2.2591703365586653e+19,66.56,7.26180506727053e+16,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954196387246906e+17
64,2048,1,1,1,4096,1,4096,16,1,2,128,128,32,1,1,1,4,1,1,1,1,1,1,256,256,256,29415.98806277447,2.2766510845371314e+19,66.56,2.4742532049696e+17,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954217383287258e+17
64,64,1,1,1,4096,1,4096,64,1,64,128,128,32,1,1,1,1,1,1,1,1,1,1,256,256,256,29415.98806277447,2.258587645659251e+19,66.56,6.679114167856347e+16,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954196387246906e+17
64,32,1,1,1,4096,1,4096,16,1,128,128,128,32,1,1,1,4,1,1,1,1,1,1,256,256,256,29415.98806277447,2.2582963212055847e+19,66.56,6.387768718149256e+16,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954217383287258e+17
64,32,1,1,1,4096,1,4096,64,1,128,128,128,32,1,1,1,1,1,1,1,1,1,1,256,256,256,29415.98806277447,2.258296300209544e+19,66.56,6.387768718149256e+16,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954196387246906e+17
64,16,1,1,1,4096,1,4096,64,1,256,128,128,32,1,1,1,1,1,1,1,1,1,1,256,256,256,29415.98806277447,2.2581506274846904e+19,66.56,6.24209599329571e+16,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954196387246906e+17
64,32,1,1,1,4096,1,4096,64,1,128,128,128,32,1,1,1,1,1,1,1,1,1,1,256,256,256,29415.98806277447,2.258296300209544e+19,66.56,6.387768718149256e+16,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954196387246906e+17
64,64,1,1,1,4096,1,4096,64,1,64,128,128,32,1,1,1,1,1,1,1,1,1,1,256,256,256,29415.98806277447,2.258587645659251e+19,66.56,6.679114167856347e+16,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954196387246906e+17
64,16,1,1,1,4096,1,4096,16,1,256,128,128,32,1,1,1,4,1,1,1,1,1,1,256,256,256,29415.98806277447,2.258150648480731e+19,66.56,6.24209599329571e+16,14601.568046842554,1.1179678032577747e+19,0.026772153191489366,62428628661974.336,146.21165262978724,1.5954217383287258e+17
