DRAM.B,DRAM.D,DRAM.E,DRAM.F,DRAM.H,DRAM.M,DRAM.N,DRAM.P,DRAM.S,L3.B,L3.D,L3.E,L3.F,L3.H,L3.M,L3.N,L3.P,L3.S,PE.B,PE.D,PE.E,PE.F,PE.H,PE.M,PE.N,PE.P,PE.S,latency,energy,QKV.latency,QKV.energy,MHA.latency,MHA.energy,LayerNorm.latency,LayerNorm.energy,FFN.latency,FFN.energy
16,4,1,1,1,64,1,64,4,4,128,64,64,8,1,1,1,2,1,1,1,1,1,1,256,256,256,2.302134587234043,1166503479510965.2,0.015174051063829788,15401913272502.992,0.7333702808510639,352163618005832.25,5.664680851063831e-05,122230565617.02914,0.03569620425531915,39298823060188.664
64,1,1,1,1,32,1,64,1,1,512,64,64,8,2,1,1,8,1,1,1,1,1,1,256,256,256,2.2996370286402925,1165237748796781.8,0.013925271766954787,14768740355053.268,0.7333702808510639,352163618005832.25,5.664680851063831e-05,122230565617.02914,0.03569620425531915,39299130620546.72
64,32,1,1,1,64,1,64,8,1,16,64,64,8,1,1,1,1,1,1,1,1,1,1,256,256,256,2.321786485106383,1177060176664049.0,0.025,20680364269046.973,0.7333702808510639,352163618005832.25,5.664680851063831e-05,122230565617.02914,0.03569620425531915,39298720640186.61
64,512,1,1,1,64,1,16,2,1,1,64,64,8,1,1,4,4,1,1,1,1,1,1,256,256,256,2.264064987234043,1333015216416928.5,0.021962025531914894,105843817533055.28,0.7161550978723406,345776358618604.3,5.664680851063831e-05,122397603718.88539,0.03569620425531915,41693258738205.36
64,256,1,1,1,32,1,64,8,1,2,64,64,8,2,1,1,1,1,1,1,1,1,1,256,256,256,2.311786485106383,1256458812260530.5,0.02,60379682067287.75,0.7333702808510639,352163618005832.25,5.664680851063831e-05,122230565617.02914,0.03569620425531915,39298720640186.61
64,4,1,1,1,16,1,64,2,1,128,64,64,8,4,1,1,4,1,1,1,1,1,1,256,256,256,2.308210536170213,1166703696487532.0,0.018212025531914894,15501714200428.43,0.7333702808510639,352163618005832.25,5.664680851063831e-05,122230565617.02914,0.03569620425531915,39299130620546.72
32,2,1,1,1,64,1,32,2,2,256,64,64,8,1,1,2,4,1,1,1,1,1,1,256,256,256,2.254064987234043,1157940442585128.5,0.016962025531914893,15112800923541.307,0.7161550978723406,347905445081013.6,5.664680851063831e-05,122397603718.88539,0.03569620425531915,41693258738205.36
16,1,1,1,1,64,1,64,4,4,512,64,64,8,1,1,1,2,1,1,1,1,1,1,256,256,256,2.2996370286402925,1165237133676065.8,0.013925271766954787,14768740355053.268,0.7333702808510639,352163618005832.25,5.664680851063831e-05,122230565617.02914,0.03569620425531915,39298823060188.664
64,16,1,1,1,64,1,32,8,1,32,64,64,8,1,1,2,1,1,1,1,1,1,1,256,256,256,2.265140936170213,1163251955717643.8,0.0225,17768659909800.867,0.7161550978723406,347905445081013.6,5.664680851063831e-05,122397603718.88539,0.03569620425531915,41693156318203.31
64,128,1,1,1,64,1,64,8,1,4,64,64,8,1,1,1,1,1,1,1,1,1,1,256,256,256,2.321786485106383,1211202221551598.8,0.025,37751386712821.836,0.7333702808510639,352163618005832.25,5.664680851063831e-05,122230565617.02914,0.03569620425531915,39298720640186.61
64,1,1,1,1,64,1,64,1,1,512,64,64,8,1,1,1,8,1,1,1,1,1,1,256,256,256,2.2996370286402925,1165237748796781.8,0.013925271766954787,14768740355053.268,0.7333702808510639,352163618005832.25,5.664680851063831e-05,122230565617.02914,0.03569620425531915,39299130620546.72
