DRAM.B,DRAM.D,DRAM.E,DRAM.F,DRAM.H,DRAM.M,DRAM.N,DRAM.P,DRAM.S,L3.B,L3.D,L3.E,L3.F,L3.H,L3.M,L3.N,L3.P,L3.S,PE.B,PE.D,PE.E,PE.F,PE.H,PE.M,PE.N,PE.P,PE.S,latency,energy,QKV.latency,QKV.energy,MHA.latency,MHA.energy,LayerNorm.latency,LayerNorm.energy,FFN.latency,FFN.energy
64,32,1,1,1,2048,1,2048,1,1,16,64,64,8,2,1,2,8,1,1,1,1,1,1,256,256,256,8779.954753361704,4.385292982781833e+18,1.12,1310768794444550.2,2924.3758374127665,1.4590985201686141e+18,0.0036253957446808517,7833446638008.665,2.2845570723404256,2668358726955752.0
32,32,1,1,1,4096,1,2048,2,2,16,64,64,8,1,1,2,4,1,1,1,1,1,1,256,256,256,8779.885892629789,4.385288711486333e+18,1.0855696340425531,1308639707982141.0,2924.3758374127665,1.4590985201686141e+18,0.0036253957446808517,7833446638008.665,2.2845570723404256,2668352165668113.0
64,2,1,1,1,1024,1,4096,1,1,256,64,64,8,4,1,1,8,1,1,1,1,1,1,256,256,256,8991.586061072341,4.436628055810425e+18,1.1655696340425532,969348345569053.0,2994.8892268936174,1.4765399964686712e+18,0.0036253957446808517,7822756199489.865,2.2845570723404256,2515127966137960.0
64,128,1,1,1,1024,1,4096,4,1,4,64,64,8,4,1,1,2,1,1,1,1,1,1,256,256,256,8991.586061072341,4.4394959875809787e+18,1.1655696340425532,2403314230846142.0,2994.8892268936174,1.4765399964686712e+18,0.0036253957446808517,7822756199489.865,2.2845570723404256,2515127966137960.0
64,64,1,1,1,4096,1,1024,1,1,8,64,64,8,1,1,4,8,1,1,1,1,1,1,256,256,256,8780.525892629788,4.3598718933522145e+18,1.4055696340425532,1681337865965642.0,2924.3758374127665,1.4503777820185856e+18,0.0036253957446808517,7833446638008.665,2.2845570723404256,2668352165668113.0
32,512,1,1,1,2048,1,4096,1,2,1,64,64,8,2,1,1,8,1,1,1,1,1,1,256,256,256,8991.266061072341,4.4482177303433784e+18,1.005569634042553,6764198734621233.0,2994.8892268936174,1.4765399964686712e+18,0.0036253957446808517,7822756199489.865,2.2845570723404256,2515114843562683.0
64,1,1,1,1,4096,1,4096,1,1,512,64,64,8,1,1,1,8,1,1,1,1,1,1,256,256,256,8991.037202781834,4.436579745604541e+18,0.8911404887882314,945193242627257.5,2994.8892268936174,1.4765399964686712e+18,0.0036253957446808517,7822756199489.865,2.2845570723404256,2515127966137960.0
64,512,1,1,1,4096,1,2048,8,1,1,64,64,8,1,1,2,1,1,1,1,1,1,1,256,256,256,8780.594753361704,4.396225365454785e+18,1.44,6776973253395689.0,2924.3758374127665,1.4590985201686141e+18,0.0036253957446808517,7833446638008.665,2.2845570723404256,2668345604480592.0
64,2,1,1,1,2048,1,2048,2,1,256,64,64,8,2,1,2,4,1,1,1,1,1,1,256,256,256,8779.954753361704,4.384610141884082e+18,1.12,969348345569053.0,2924.3758374127665,1.4590985201686141e+18,0.0036253957446808517,7833446638008.665,2.2845570723404256,2668358726955752.0
16,64,1,1,1,4096,1,4096,4,4,8,64,64,8,1,1,1,2,1,1,1,1,1,1,256,256,256,8991.197200340426,4.438026446445944e+18,0.9711392680851064,1668563347191186.2,2994.8892268936174,1.4765399964686712e+18,0.0036253957446808517,7822756199489.865,2.2845570723404256,2515108282275044.5
64,32,1,1,1,4096,1,1024,8,1,16,64,64,8,1,1,4,1,1,1,1,1,1,1,256,256,256,8780.525892629788,4.3591435166055716e+18,1.4055696340425532,1317156053831778.2,2924.3758374127665,1.4503777820185856e+18,0.0036253957446808517,7833446638008.665,2.2845570723404256,2668345604480592.0
64,64,1,1,1,4096,1,2048,8,1,8,64,64,8,1,1,2,1,1,1,1,1,1,1,256,256,256,8780.594753361704,4.3860383528528497e+18,1.44,1683466952428051.5,2924.3758374127665,1.4590985201686141e+18,0.0036253957446808517,7833446638008.665,2.2845570723404256,2668345604480592.0
64,128,1,1,1,1024,1,4096,1,1,4,64,64,8,4,1,1,8,1,1,1,1,1,1,256,256,256,8991.586061072341,4.4394959875809787e+18,1.1655696340425532,2403314230846142.0,2994.8892268936174,1.4765399964686712e+18,0.0036253957446808517,7822756199489.865,2.2845570723404256,2515127966137960.0
32,512,1,1,1,2048,1,4096,4,2,1,64,64,8,2,1,1,2,1,1,1,1,1,1,256,256,256,8991.266061072341,4.4482177303433784e+18,1.005569634042553,6764198734621233.0,2994.8892268936174,1.4765399964686712e+18,0.0036253957446808517,7822756199489.865,2.2845570723404256,2515114843562683.0
64,64,1,1,1,2048,1,4096,1,1,8,64,64,8,2,1,1,8,1,1,1,1,1,1,256,256,256,8991.814921804256,4.438047776678293e+18,1.28,1679208779503233.0,2994.8892268936174,1.4765399964686712e+18,0.0036253957446808517,7822756199489.865,2.2845570723404256,2515127966137960.0
