DRAM.B,DRAM.D,DRAM.E,DRAM.F,DRAM.H,DRAM.M,DRAM.N,DRAM.P,DRAM.S,L3.B,L3.D,L3.E,L3.F,L3.H,L3.M,L3.N,L3.P,L3.S,PE.B,PE.D,PE.E,PE.F,PE.H,PE.M,PE.N,PE.P,PE.S,latency,energy,QKV.latency,QKV.energy,MHA.latency,MHA.energy,LayerNorm.latency,LayerNorm.energy,FFN.latency,FFN.energy
64,1024,1,1,1,2,1,4,1,1,1,64,64,16,2,1,1,16,1,1,1,1,1,1,256,256,256,0.02485347021276596,41774091278878.49,0.003928006382978723,26437469412950.72,0.005990902127659575,2760553254999.9985,6.5361702127659585e-06,15269820586.705921,0.008924051063829787,9769705894167.658
64,2,1,1,1,2,1,4,4,1,512,64,64,16,2,1,1,4,1,1,1,1,1,1,256,256,256,0.02485347021276596,19080148314861.145,0.003928006382978723,3743526448933.3716,0.005990902127659575,2760553254999.9985,6.5361702127659585e-06,15269820586.705921,0.008924051063829787,9769705894167.658
64,8,1,1,1,2,1,4,1,1,128,64,64,16,2,1,1,16,1,1,1,1,1,1,256,256,256,0.02485347021276596,19213515677703.133,0.003928006382978723,3876893811775.363,0.005990902127659575,2760553254999.9985,6.5361702127659585e-06,15269820586.705921,0.008924051063829787,9769705894167.658
32,512,1,1,1,4,1,4,8,2,2,64,64,16,1,1,1,2,1,1,1,1,1,1,256,256,256,0.024406476595744683,30399715038412.984,0.0034810127659574467,15063118802515.047,0.005990902127659575,2760553254999.9985,6.5361702127659585e-06,15269820586.705921,0.008924051063829787,9769680264137.82
64,1,1,1,1,4,1,4,1,1,1024,64,64,16,1,1,1,16,1,1,1,1,1,1,256,256,256,0.024271982978723405,18991776316478.562,0.0033465191489361703,3655154450550.791,0.005990902127659575,2760553254999.9985,6.5361702127659585e-06,15269820586.705921,0.008924051063829787,9769705894167.658
64,16,1,1,1,4,1,4,8,1,64,64,64,16,1,1,1,2,1,1,1,1,1,1,256,256,256,0.025925463829787235,19424605804134.27,0.005,4087983938206.4966,0.005990902127659575,2760553254999.9985,6.5361702127659585e-06,15269820586.705921,0.008924051063829787,9769705894167.658
64,4,1,1,1,4,1,4,4,1,256,64,64,16,1,1,1,4,1,1,1,1,1,1,256,256,256,0.025925463829787235,19157871078450.29,0.005,3821249212522.514,0.005990902127659575,2760553254999.9985,6.5361702127659585e-06,15269820586.705921,0.008924051063829787,9769705894167.658
64,128,1,1,1,2,1,4,8,1,8,64,64,16,2,1,1,2,1,1,1,1,1,1,256,256,256,0.02485347021276596,21880862934542.96,0.003928006382978723,6544241068615.187,0.005990902127659575,2760553254999.9985,6.5361702127659585e-06,15269820586.705921,0.008924051063829787,9769705894167.658
64,2,1,1,1,4,1,2,8,1,512,64,64,16,1,1,2,2,1,1,1,1,1,1,256,256,256,0.025209482978723406,19671776838201.934,0.0045530063829787235,3760159936920.9443,0.005856408510638299,2727286279024.853,6.5361702127659585e-06,15332459874.902016,0.008924051063829787,10411046963606.578
64,1,1,1,1,2,1,4,4,1,1024,64,64,16,2,1,1,4,1,1,1,1,1,1,256,256,256,0.024271982978723405,18991776316478.562,0.0033465191489361703,3655154450550.791,0.005990902127659575,2760553254999.9985,6.5361702127659585e-06,15269820586.705921,0.008924051063829787,9769705894167.658
64,2,1,1,1,4,1,4,1,1,512,64,64,16,1,1,1,16,1,1,1,1,1,1,256,256,256,0.025925463829787235,19113415290836.29,0.005,3776793424908.517,0.005990902127659575,2760553254999.9985,6.5361702127659585e-06,15269820586.705921,0.008924051063829787,9769705894167.658
64,128,1,1,1,2,1,4,4,1,8,64,64,16,2,1,1,4,1,1,1,1,1,1,256,256,256,0.02485347021276596,21880862934542.96,0.003928006382978723,6544241068615.187,0.005990902127659575,2760553254999.9985,6.5361702127659585e-06,15269820586.705921,0.008924051063829787,9769705894167.658
32,8,1,1,1,4,1,4,8,2,128,64,64,16,1,1,1,2,1,1,1,1,1,1,256,256,256,0.024406476595744683,19196856559685.727,0.0034810127659574467,3860260323787.79,0.005990902127659575,2760553254999.9985,6.5361702127659585e-06,15269820586.705921,0.008924051063829787,9769680264137.82
64,1,1,1,1,2,1,4,16,1,1024,64,64,16,2,1,1,1,1,1,1,1,1,1,256,256,256,0.024271982978723405,18991725256653.492,0.0033465191489361703,3655154450550.791,0.005990902127659575,2760553254999.9985,6.5361702127659585e-06,15269820586.705921,0.008924051063829787,9769654834342.59
64,1,1,1,1,2,1,4,16,1,1024,64,64,16,2,1,1,1,1,1,1,1,1,1,256,256,256,0.024271982978723405,18991725256653.492,0.0033465191489361703,3655154450550.791,0.005990902127659575,2760553254999.9985,6.5361702127659585e-06,15269820586.705921,0.008924051063829787,9769654834342.59
