DRAM.B,DRAM.D,DRAM.E,DRAM.F,DRAM.H,DRAM.M,DRAM.N,DRAM.P,DRAM.S,L3.B,L3.D,L3.E,L3.F,L3.H,L3.M,L3.N,L3.P,L3.S,PE.B,PE.D,PE.E,PE.F,PE.H,PE.M,PE.N,PE.P,PE.S,latency,energy,QKV.latency,QKV.energy,MHA.latency,MHA.energy,LayerNorm.latency,LayerNorm.energy,FFN.latency,FFN.energy
64,32,1,1,1,4096,1,4096,8,1,64,128,128,16,1,1,1,4,1,1,1,1,1,1,256,256,256,22015.933941106385,1.6883076286758679e+19,17.92,1.6713317683391848e+16,7300.784023421277,5.589839016288873e+18,0.013386076595744683,31233740407849.35,38.837470229787236,3.99882169116167e+16
64,64,1,1,1,4096,1,2048,16,1,32,128,128,16,1,1,2,2,1,1,1,1,1,1,256,256,256,21167.391495625532,1.6679183445472584e+19,16.72911414468085,1.810191416513021e+16,7018.7304654978725,5.520073111088645e+18,0.013386076595744683,31383406547112.56,38.837470229787236,4.130168342182762e+16
32,256,1,1,1,4096,1,4096,32,2,8,128,128,16,1,1,1,1,1,1,1,1,1,1,256,256,256,22007.508625974468,1.6903061473676988e+19,13.707342434042554,2.6706016122748744e+16,7300.784023421277,5.589839016288873e+18,0.013386076595744683,31233740407849.35,38.837470229787236,3.998811193141495e+16
64,64,1,1,1,4096,1,2048,32,1,32,128,128,16,1,1,2,1,1,1,1,1,1,1,256,256,256,21167.391495625532,1.6679183340492784e+19,16.72911414468085,1.810191416513021e+16,7018.7304654978725,5.520073111088645e+18,0.013386076595744683,31383406547112.56,38.837470229787236,4.130163093192698e+16
64,512,1,1,1,4096,1,2048,32,1,4,128,128,16,1,1,2,1,1,1,1,1,1,1,256,256,256,21167.391495625532,1.671997170345178e+19,16.72911414468085,3.8496095644626584e+16,7018.7304654978725,5.520073111088645e+18,0.013386076595744683,31383406547112.56,38.837470229787236,4.130163093192698e+16
64,64,1,1,1,4096,1,2048,4,1,32,128,128,16,1,1,2,8,1,1,1,1,1,1,256,256,256,21167.391495625532,1.6679183445472584e+19,16.72911414468085,1.810191416513021e+16,7018.7304654978725,5.520073111088645e+18,0.013386076595744683,31383406547112.56,38.837470229787236,4.130168342182762e+16
64,1024,1,1,1,4096,1,2048,8,1,2,128,128,16,1,1,2,4,1,1,1,1,1,1,256,256,256,21167.391495625532,1.6766587080384713e+19,16.72911414468085,6.180373162119387e+16,7018.7304654978725,5.520073111088645e+18,0.013386076595744683,31383406547112.56,38.837470229787236,4.130168342182762e+16
32,64,1,1,1,4096,1,4096,8,2,32,128,128,16,1,1,1,4,1,1,1,1,1,1,256,256,256,22007.508625974468,1.6885580851674362e+19,13.707342434042554,1.796565263153601e+16,7300.784023421277,5.589839016288873e+18,0.013386076595744683,31233740407849.35,38.837470229787236,3.998816442131559e+16
32,128,1,1,1,4096,1,4096,16,2,16,128,128,16,1,1,1,2,1,1,1,1,1,1,256,256,256,22007.508625974468,1.6891407760668504e+19,13.707342434042554,2.087910712860692e+16,7300.784023421277,5.589839016288873e+18,0.013386076595744683,31233740407849.35,38.837470229787236,3.998816442131559e+16
64,32,1,1,1,4096,1,2048,8,1,64,128,128,16,1,1,2,4,1,1,1,1,1,1,256,256,256,21167.391495625532,1.6676269990975517e+19,16.72911414468085,1.664518691659475e+16,7018.7304654978725,5.520073111088645e+18,0.013386076595744683,31383406547112.56,38.837470229787236,4.130168342182762e+16
64,64,1,1,1,4096,1,4096,4,1,32,128,128,16,1,1,1,8,1,1,1,1,1,1,256,256,256,22015.933941106385,1.688598974125575e+19,17.92,1.8170044931927304e+16,7300.784023421277,5.589839016288873e+18,0.013386076595744683,31233740407849.35,38.837470229787236,3.99882169116167e+16
32,2048,1,1,1,4096,1,4096,4,2,1,128,128,16,1,1,1,8,1,1,1,1,1,1,256,256,256,22007.508625974468,1.7065932842633998e+19,13.707342434042554,1.0814164811135349e+17,7300.784023421277,5.589839016288873e+18,0.013386076595744683,31233740407849.35,38.837470229787236,3.998816442131559e+16
64,512,1,1,1,4096,1,2048,32,1,4,128,128,16,1,1,2,1,1,1,1,1,1,1,256,256,256,21167.391495625532,1.671997170345178e+19,16.72911414468085,3.8496095644626584e+16,7018.7304654978725,5.520073111088645e+18,0.013386076595744683,31383406547112.56,38.837470229787236,4.130163093192698e+16
64,32,1,1,1,4096,1,2048,32,1,64,128,128,16,1,1,2,1,1,1,1,1,1,1,256,256,256,21167.391495625532,1.6676269885995715e+19,16.72911414468085,1.664518691659475e+16,7018.7304654978725,5.520073111088645e+18,0.013386076595744683,31383406547112.56,38.837470229787236,4.130163093192698e+16
32,2048,1,1,1,4096,1,4096,4,2,1,128,128,16,1,1,1,8,1,1,1,1,1,1,256,256,256,22007.508625974468,1.7065932842633998e+19,13.707342434042554,1.0814164811135349e+17,7300.784023421277,5.589839016288873e+18,0.013386076595744683,31233740407849.35,38.837470229787236,3.998816442131559e+16
64,16,1,1,1,4096,1,4096,8,1,128,128,128,16,1,1,1,4,1,1,1,1,1,1,256,256,256,22015.933941106385,1.6881619559510143e+19,17.92,1.598495405912412e+16,7300.784023421277,5.589839016288873e+18,0.013386076595744683,31233740407849.35,38.837470229787236,3.99882169116167e+16
