DRAM.B,DRAM.D,DRAM.E,DRAM.F,DRAM.H,DRAM.M,DRAM.N,DRAM.P,DRAM.S,L3.B,L3.D,L3.E,L3.F,L3.H,L3.M,L3.N,L3.P,L3.S,PE.B,PE.D,PE.E,PE.F,PE.H,PE.M,PE.N,PE.P,PE.S,latency,energy,QKV.latency,QKV.energy,MHA.latency,MHA.energy,LayerNorm.latency,LayerNorm.energy,FFN.latency,FFN.energy
64,12,1,1,1,4096,1,32768,48,1,64,64,64,12,16,1,2,4,1,1,1,1,1,1,16,16,16,306286.7739669787,3.214329425476089e+18,328.9762184170213,2637992702165643.0,305290.7873998979,3.2048337773719316e+18,0.6737658553191489,11394963854447.346,665.6628169531915,6834865474282958.0
64,768,1,1,1,32768,1,16384,8,1,1,64,64,12,2,1,4,24,1,1,1,1,1,1,16,16,16,306286.7739669787,3.0632404954466196e+18,328.9762184170213,8929338162877424.0,305290.7873998979,3.0474535759997015e+18,0.6737658553191489,11394963854447.346,665.6628169531915,6834791356332072.0
8,24,1,1,1,32768,1,65536,2,8,32,64,64,12,2,1,1,96,1,1,1,1,1,1,16,16,16,306286.7739669787,3.528981125455803e+18,328.9762184170213,2651146172166687.5,305290.7873998979,3.519594180116392e+18,0.6737658553191489,11394963854447.346,665.6628169531915,6713009239535430.0
64,768,1,1,1,65536,1,4096,8,1,1,64,64,12,1,1,16,24,1,1,1,1,1,1,16,16,16,306286.7739669787,2.9453665783612027e+18,328.9762184170213,9090627695096182.0,305290.7873998979,2.929418424970529e+18,0.6737658553191489,11394963854447.346,665.6628169531915,6834735767868908.0
64,8,1,1,1,32768,1,2048,96,1,96,64,64,12,2,1,32,2,1,1,1,1,1,1,16,16,16,306286.7739669787,2.921451048933638e+18,328.9762184170213,2698446857139816.0,305290.7873998979,2.911895085645665e+18,0.6737658553191489,11394963854447.346,665.6628169531915,6834726503125048.0
16,2,1,1,1,65536,1,8192,4,4,384,64,64,12,1,1,8,48,1,1,1,1,1,1,16,16,16,306286.7739669787,2.9781543674010665e+18,328.9762184170213,2533375656646020.0,305290.7873998979,2.9687634753135867e+18,0.6737658553191489,11394963854447.346,665.6628169531915,6834726503125048.0
32,256,1,1,1,2048,1,65536,24,2,3,64,64,12,32,1,1,8,1,1,1,1,1,1,16,16,16,306286.7739669787,3.533120957725954e+18,328.9762184170213,4641681418726832.0,305290.7873998979,3.5217433659630566e+18,0.6737658553191489,11394963854447.346,665.6628169531915,6713120416461758.0
16,3,1,1,1,16384,1,65536,3,4,256,64,64,12,4,1,1,64,1,1,1,1,1,1,16,16,16,306286.7739669787,3.5288356709462134e+18,328.9762184170213,2505654603601875.5,305290.7873998979,3.519594180116392e+18,0.6737658553191489,11394963854447.346,665.6628169531915,6713046298510873.0
8,192,1,1,1,8192,1,65536,3,8,4,64,64,12,8,1,1,64,1,1,1,1,1,1,16,16,16,306286.7739669787,3.5325031683736817e+18,328.9762184170213,4024003243380861.5,305290.7873998979,3.5217433659630566e+18,0.6737658553191489,11394963854447.346,665.6628169531915,6713009239535430.0
8,48,1,1,1,16384,1,32768,32,8,16,64,64,12,4,1,2,6,1,1,1,1,1,1,16,16,16,306286.7739669787,3.216662027904064e+18,328.9762184170213,2821538989889934.0,305290.7873998979,3.2069829632185964e+18,0.6737658553191489,11394963854447.346,665.6628169531915,6834735767868908.0
