DRAM.B,DRAM.D,DRAM.E,DRAM.F,DRAM.H,DRAM.M,DRAM.N,DRAM.P,DRAM.S,L3.B,L3.D,L3.E,L3.F,L3.H,L3.M,L3.N,L3.P,L3.S,PE.B,PE.D,PE.E,PE.F,PE.H,PE.M,PE.N,PE.P,PE.S,latency,energy,QKV.latency,QKV.energy,MHA.latency,MHA.energy,LayerNorm.latency,LayerNorm.energy,FFN.latency,FFN.energy
32,96,1,1,1,128,1,4096,16,2,8,64,64,12,32,1,1,12,1,1,1,1,1,1,16,16,16,1254.841496510638,1.370293438395792e+16,20.56101365106383,207100924808977.72,1192.5923360680852,1.30748386500698e+16,0.042110365957446806,712185240902.9591,41.60392605957447,419570438597338.75
16,24,1,1,1,4096,1,4096,192,4,32,64,64,12,1,1,1,1,1,1,1,1,1,1,16,16,16,1254.841496510638,1.3668725124122242e+16,20.56101365106383,172900929646475.88,1192.5923360680852,1.30748386500698e+16,0.042110365957446806,712185240902.9591,41.60392605957447,419561173924162.5
64,24,1,1,1,4096,1,64,192,1,32,64,64,12,1,1,64,1,1,1,1,1,1,1,16,16,16,1254.841496510638,1.1273927313419696e+16,20.56101365106383,191136798545559.97,1192.5923360680852,1.0654195904354344e+16,0.042110365957446806,712185240902.9591,41.60392605957447,427170240037987.5
64,384,1,1,1,64,1,4096,16,1,2,64,64,12,64,1,1,12,1,1,1,1,1,1,16,16,16,1254.841496510638,1.3859555437538448e+16,20.56101365106383,363712713645644.4,1192.5923360680852,1.30748386500698e+16,0.042110365957446806,712185240902.9591,41.60392605957447,419579703341199.44
64,96,1,1,1,1024,1,512,6,1,8,64,64,12,4,1,8,32,1,1,1,1,1,1,16,16,16,1254.841496510638,1.1560204865981524e+16,20.56101365106383,208451729912613.6,1192.5923360680852,1.0923156209433838e+16,0.042110365957446806,712185240902.9591,41.60392605957447,427172556153268.25
64,48,1,1,1,1024,1,512,48,1,16,64,64,12,4,1,8,4,1,1,1,1,1,1,16,16,16,1254.841496510638,1.1535303616823088e+16,20.56101365106383,183550480754178.78,1192.5923360680852,1.0923156209433838e+16,0.042110365957446806,712185240902.9591,41.60392605957447,427172556153268.25
8,2,1,1,1,1024,1,2048,2,8,384,64,64,12,4,1,2,96,1,1,1,1,1,1,16,16,16,1254.841496510638,1.2426384085149294e+16,20.56101365106383,152482489757954.22,1192.5923360680852,1.184530582684925e+16,0.042110365957446806,712185240902.9591,41.60392605957447,427171398060285.7
32,12,1,1,1,128,1,4096,24,2,64,64,64,12,32,1,1,8,1,1,1,1,1,1,16,16,16,1254.841496510638,1.3659357197930658e+16,20.56101365106383,163523738781716.84,1192.5923360680852,1.30748386500698e+16,0.042110365957446806,712185240902.9591,41.60392605957447,419570438597338.75
64,96,1,1,1,1024,1,2048,192,1,8,64,64,12,4,1,2,1,1,1,1,1,1,1,16,16,16,1254.841496510638,1.24877553876962e+16,20.56101365106383,213854950327157.0,1192.5923360680852,1.184530582684925e+16,0.042110365957446806,712185240902.9591,41.60392605957447,427170240037987.5
32,24,1,1,1,2048,1,512,2,2,32,64,64,12,2,1,8,96,1,1,1,1,1,1,16,16,16,1254.841496510638,1.1521951297415132e+16,20.56101365106383,170199319439204.16,1192.5923360680852,1.0923156209433838e+16,0.042110365957446806,712185240902.9591,41.60392605957447,427171398060285.7
64,32,1,1,1,2048,1,256,96,1,24,64,64,12,2,1,16,2,1,1,1,1,1,1,16,16,16,1254.841496510638,1.1379614196591694e+16,20.56101365106383,181553821518334.53,1192.5923360680852,1.076946460653127e+16,0.042110365957446806,712185240902.9591,41.60392605957447,427171398060285.7
32,2,1,1,1,2048,1,1024,32,2,384,64,64,12,2,1,4,6,1,1,1,1,1,1,16,16,16,1254.841496510638,1.181882312551806e+16,20.56101365106383,159686783644012.12,1192.5923360680852,1.1230539415238976e+16,0.042110365957446806,712185240902.9591,41.60392605957447,427172556153268.25
32,32,1,1,1,1024,1,2048,3,2,24,64,64,12,4,1,2,64,1,1,1,1,1,1,16,16,16,1254.841496510638,1.2447354060566808e+16,20.56101365106383,173448990896519.38,1192.5923360680852,1.184530582684925e+16,0.042110365957446806,712185240902.9591,41.60392605957447,427174872339233.44
4,768,1,1,1,2048,1,2048,6,16,1,64,64,12,2,1,2,32,1,1,1,1,1,1,16,16,16,1254.841496510638,1.2815324721913178e+16,20.56101365106383,541423705568330.1,1192.5923360680852,1.184530582684925e+16,0.042110365957446806,712185240902.9591,41.60392605957447,427170819013794.4
2,64,1,1,1,4096,1,4096,6,32,12,64,64,12,1,1,1,32,1,1,1,1,1,1,16,16,16,1254.841496510638,1.3680021108337962e+16,20.56101365106383,184196334886387.2,1192.5923360680852,1.30748386500698e+16,0.042110365957446806,712185240902.9591,41.60392605957447,419561752899969.4
16,96,1,1,1,2048,1,512,32,4,8,64,64,12,2,1,8,6,1,1,1,1,1,1,16,16,16,1254.841496510638,1.1555250176795384e+16,20.56101365106383,203498777865948.75,1192.5923360680852,1.0923156209433838e+16,0.042110365957446806,712185240902.9591,41.60392605957447,427170819013794.4
