DRAM.B,DRAM.D,DRAM.E,DRAM.F,DRAM.H,DRAM.M,DRAM.N,DRAM.P,DRAM.S,L3.B,L3.D,L3.E,L3.F,L3.H,L3.M,L3.N,L3.P,L3.S,PE.B,PE.D,PE.E,PE.F,PE.H,PE.M,PE.N,PE.P,PE.S,latency,energy,QKV.latency,QKV.energy,MHA.latency,MHA.energy,LayerNorm.latency,LayerNorm.energy,FFN.latency,FFN.energy
64,512,1,1,1,65536,1,32768,64,1,8,128,128,32,1,1,2,16,1,1,1,1,1,1,16,16,16,3153553.5583842047,3.3446452991860457e+19,9357.545768306383,1.0687520840591651e+17,1562714.7124213108,1.657381576607982e+19,3.458069787234043,60733173789693.57,18756.213563914895,1.9176405177353152e+17
16,2048,1,1,1,65536,1,65536,512,4,2,128,128,32,1,1,1,2,1,1,1,1,1,1,16,16,16,3153553.5583842047,3.6858588398746042e+19,9357.545768306383,1.6339657975782397e+17,1562714.7124213108,1.8252537914050277e+19,3.458069787234043,60733173789693.57,18756.213563914895,1.8993379136629907e+17
64,64,1,1,1,32768,1,65536,256,1,64,128,128,32,2,1,1,4,1,1,1,1,1,1,16,16,16,3153553.5583842047,3.6778956997534134e+19,9357.545768306383,8.376399265869944e+16,1562714.7124213108,1.8252537914050277e+19,3.458069787234043,60733173789693.57,18756.213563914895,1.8993497725351325e+17
64,512,1,1,1,32768,1,16384,64,1,8,128,128,32,2,1,4,16,1,1,1,1,1,1,16,16,16,3153553.5583842047,3.1759533563106124e+19,9357.545768306383,9.867832291777952e+16,1562714.7124213108,1.573445469209459e+19,3.458069787234043,60733173789693.57,18756.213563914895,1.9176365647779347e+17
64,32,1,1,1,16384,1,65536,32,1,128,128,128,32,4,1,1,32,1,1,1,1,1,1,16,16,16,3153553.5583842047,3.677426163894231e+19,9357.545768306383,7.90686340668759e+16,1562714.7124213108,1.8252537914050277e+19,3.458069787234043,60733173789693.57,18756.213563914895,1.8993497725351325e+17
64,32,1,1,1,32768,1,16384,1024,1,128,128,128,32,2,1,4,1,1,1,1,1,1,1,16,16,16,3153553.5583842047,3.1738284101862232e+19,9357.545768306383,7.742925696924851e+16,1562714.7124213108,1.573445469209459e+19,3.458069787234043,60733173789693.57,18756.213563914895,1.9176326118243242e+17
64,2048,1,1,1,65536,1,8192,128,1,2,128,128,32,1,1,8,8,1,1,1,1,1,1,16,16,16,3153553.5583842047,3.0993907122350014e+19,9357.545768306383,1.7241315379477466e+17,1562714.7124213108,1.5314774155101975e+19,3.458069787234043,60733173789693.57,18756.213563914895,1.9176345882992445e+17
64,64,1,1,1,32768,1,16384,1024,1,64,128,128,32,2,1,4,1,1,1,1,1,1,1,16,16,16,3153553.5583842047,3.17397007062588e+19,9357.545768306383,7.884586136581725e+16,1562714.7124213108,1.573445469209459e+19,3.458069787234043,60733173789693.57,18756.213563914895,1.9176326118243242e+17
32,512,1,1,1,32768,1,32768,256,2,8,128,128,32,2,1,2,4,1,1,1,1,1,1,16,16,16,3153553.5583842047,3.3434976956881326e+19,9357.545768306383,9.539956872252472e+16,1562714.7124213108,1.657381576607982e+19,3.458069787234043,60733173789693.57,18756.213563914895,1.9176365647779347e+17
32,512,1,1,1,65536,1,32768,128,2,8,128,128,32,1,1,2,8,1,1,1,1,1,1,16,16,16,3153553.5583842047,3.343825571107658e+19,9357.545768306383,9.867832291777952e+16,1562714.7124213108,1.657381576607982e+19,3.458069787234043,60733173789693.57,18756.213563914895,1.9176365647779347e+17
16,256,1,1,1,65536,1,32768,1024,4,16,128,128,32,1,1,2,1,1,1,1,1,1,1,16,16,16,3153553.5583842047,3.3422824037864604e+19,9357.545768306383,8.324704500116115e+16,1562714.7124213108,1.657381576607982e+19,3.458069787234043,60733173789693.57,18756.213563914895,1.9176326118243242e+17
16,128,1,1,1,65536,1,65536,512,4,32,128,128,32,1,1,1,2,1,1,1,1,1,1,16,16,16,3153553.5583842047,3.677359213495192e+19,9357.545768306383,7.84003159636999e+16,1562714.7124213108,1.8252537914050277e+19,3.458069787234043,60733173789693.57,18756.213563914895,1.8993379136629907e+17
16,4096,1,1,1,65536,1,32768,64,4,1,128,128,32,1,1,2,16,1,1,1,1,1,1,16,16,16,3153553.5583842047,3.3588182744266654e+19,9357.545768306383,2.4860555375572013e+17,1562714.7124213108,1.657381576607982e+19,3.458069787234043,60733173789693.57,18756.213563914895,1.9176345882992445e+17
64,128,1,1,1,65536,1,32768,32,1,32,128,128,32,1,1,2,32,1,1,1,1,1,1,16,16,16,3153553.5583842047,3.342945373910163e+19,9357.545768306383,8.987595564709171e+16,1562714.7124213108,1.657381576607982e+19,3.458069787234043,60733173789693.57,18756.213563914895,1.9176405177353152e+17
64,512,1,1,1,16384,1,65536,512,1,8,128,128,32,4,1,1,2,1,1,1,1,1,1,16,16,16,3153553.5583842047,3.6795510704890843e+19,9357.545768306383,1.0031770001540691e+17,1562714.7124213108,1.8252537914050277e+19,3.458069787234043,60733173789693.57,18756.213563914895,1.8993497725351325e+17
64,32,1,1,1,65536,1,16384,128,1,128,128,128,32,1,1,4,8,1,1,1,1,1,1,16,16,16,3153553.5583842047,3.17448420055481e+19,9357.545768306383,8.398676535975811e+16,1562714.7124213108,1.573445469209459e+19,3.458069787234043,60733173789693.57,18756.213563914895,1.9176365647779347e+17
