DRAM.B,DRAM.D,DRAM.E,DRAM.F,DRAM.H,DRAM.M,DRAM.N,DRAM.P,DRAM.S,L3.B,L3.D,L3.E,L3.F,L3.H,L3.M,L3.N,L3.P,L3.S,PE.B,PE.D,PE.E,PE.F,PE.H,PE.M,PE.N,PE.P,PE.S,latency,energy,QKV.latency,QKV.energy,MHA.latency,MHA.energy,LayerNorm.latency,LayerNorm.energy,FFN.latency,FFN.energy
32,2048,1,1,1,4096,1,2048,64,2,2,128,128,32,1,1,2,16,1,1,1,1,1,1,16,16,16,13967.002480204257,1.5149670201153453e+17,584.846610519149,1.0417208372067422e+16,6104.622066927661,6.454143295599574e+16,0.21612936170212768,3795823361855.848,1172.263347744681,1.1985240257390044e+16
64,32,1,1,1,2048,1,2048,64,1,128,128,128,32,2,1,2,16,1,1,1,1,1,1,16,16,16,13967.002480204257,1.4602130797463046e+17,584.846610519149,4941789629179744.0,6104.622066927661,6.454143295599574e+16,0.21612936170212768,3795823361855.848,1172.263347744681,1.1985264963373674e+16
16,256,1,1,1,4096,1,2048,128,4,16,128,128,32,1,1,2,8,1,1,1,1,1,1,16,16,16,13967.002480204257,1.4628242159904787e+17,584.846610519149,5202940312572572.0,6104.622066927661,6.454143295599574e+16,0.21612936170212768,3795823361855.848,1172.263347744681,1.1985227904398232e+16
64,1024,1,1,1,4096,1,1024,512,1,4,128,128,32,1,1,4,2,1,1,1,1,1,1,16,16,16,13967.002480204257,1.4251582910229432e+17,584.846610519149,7993843853336804.0,6104.622066927661,6.126267876074095e+16,0.21612936170212768,3795823361855.848,1172.263347744681,1.1985240257390044e+16
32,4096,1,1,1,2048,1,4096,32,2,1,128,128,32,2,1,1,32,1,1,1,1,1,1,16,16,16,13967.002480204257,1.697838981130715e+17,584.846610519149,1.570372955606995e+16,6104.622066927661,7.109894134650534e+16,0.21612936170212768,3795823361855.848,1172.263347744681,1.1870898393905274e+16
32,128,1,1,1,4096,1,1024,128,2,32,128,128,32,1,1,4,8,1,1,1,1,1,1,16,16,16,13967.002480204257,1.3957568424659952e+17,584.846610519149,5053711350633813.0,6104.622066927661,6.126267876074095e+16,0.21612936170212768,3795823361855.848,1172.263347744681,1.1985227904398232e+16
32,64,1,1,1,4096,1,4096,128,2,64,128,128,32,1,1,1,8,1,1,1,1,1,1,16,16,16,13967.002480204257,1.5263917099279846e+17,584.846610519149,5030327403965290.0,6104.622066927661,6.786327886242117e+16,0.21612936170212768,3795823361855.848,1172.263347744681,1.1870898393905274e+16
32,4096,1,1,1,4096,1,4096,1024,2,1,128,128,32,1,1,1,1,1,1,1,1,1,1,16,16,16,13967.002480204257,1.634930008592017e+17,584.846610519149,1.5884206681958792e+16,6104.622066927661,6.786327886242117e+16,0.21612936170212768,3795823361855.848,1172.263347744681,1.1870848982315e+16
16,1024,1,1,1,4096,1,4096,128,4,4,128,128,32,1,1,1,8,1,1,1,1,1,1,16,16,16,13967.002480204257,1.6145922129274442e+17,584.846610519149,7379077441726530.0,6104.622066927661,7.109894134650534e+16,0.21612936170212768,3795823361855.848,1172.263347744681,1.1870873687921646e+16
32,512,1,1,1,2048,1,2048,64,2,8,128,128,32,2,1,2,16,1,1,1,1,1,1,16,16,16,13967.002480204257,1.470419666846249e+17,584.846610519149,5962473045157795.0,6104.622066927661,6.454143295599574e+16,0.21612936170212768,3795823361855.848,1172.263347744681,1.1985240257390044e+16
64,64,1,1,1,4096,1,4096,64,1,64,128,128,32,1,1,1,16,1,1,1,1,1,1,16,16,16,13967.002480204257,1.53253986816376e+17,584.846610519149,5645093815575565.0,6104.622066927661,6.786327886242117e+16,0.21612936170212768,3795823361855.848,1172.263347744681,1.1870947805872532e+16
32,1024,1,1,1,4096,1,4096,512,2,4,128,128,32,1,1,1,2,1,1,1,1,1,1,16,16,16,13967.002480204257,1.5529530423636483e+17,584.846610519149,7686460647531667.0,6104.622066927661,6.786327886242117e+16,0.21612936170212768,3795823361855.848,1172.263347744681,1.1870898393905274e+16
64,2048,1,1,1,2048,1,1024,64,1,2,128,128,32,2,1,4,16,1,1,1,1,1,1,16,16,16,13967.002480204257,1.4493919362102493e+17,584.846610519149,1.0417208372067422e+16,6104.622066927661,6.126267876074095e+16,0.21612936170212768,3795823361855.848,1172.263347744681,1.1985240257390044e+16
32,256,1,1,1,4096,1,2048,128,2,16,128,128,32,1,1,2,8,1,1,1,1,1,1,16,16,16,13967.002480204257,1.4653858662354394e+17,584.846610519149,5459092984076853.0,6104.622066927661,6.454143295599574e+16,0.21612936170212768,3795823361855.848,1172.263347744681,1.1985240257390044e+16
64,2048,1,1,1,1024,1,2048,512,1,2,128,128,32,4,1,2,2,1,1,1,1,1,1,16,16,16,13967.002480204257,1.5139426564891645e+17,584.846610519149,1.031474730346571e+16,6104.622066927661,6.454143295599574e+16,0.21612936170212768,3795823361855.848,1172.263347744681,1.1985264963373674e+16
64,256,1,1,1,2048,1,2048,32,1,16,128,128,32,2,1,2,32,1,1,1,1,1,1,16,16,16,13967.002480204257,1.4664107239812928e+17,584.846610519149,5561554052678565.0,6104.622066927661,6.454143295599574e+16,0.21612936170212768,3795823361855.848,1172.263347744681,1.1985264963373674e+16
32,4096,1,1,1,2048,1,4096,32,2,1,128,128,32,2,1,1,32,1,1,1,1,1,1,16,16,16,13967.002480204257,1.697838981130715e+17,584.846610519149,1.570372955606995e+16,6104.622066927661,7.109894134650534e+16,0.21612936170212768,3795823361855.848,1172.263347744681,1.1870898393905274e+16
64,4096,1,1,1,4096,1,4096,1024,1,1,128,128,32,1,1,1,1,1,1,1,1,1,1,16,16,16,13967.002480204257,1.6410776727081197e+17,584.846610519149,1.6498973093569068e+16,6104.622066927661,6.786327886242117e+16,0.21612936170212768,3795823361855.848,1172.263347744681,1.1870848982315e+16
64,256,1,1,1,2048,1,1024,1024,1,16,128,128,32,2,1,4,1,1,1,1,1,1,1,16,16,16,13967.002480204257,1.3998105352742771e+17,584.846610519149,5459092984076853.0,6104.622066927661,6.126267876074095e+16,0.21612936170212768,3795823361855.848,1172.263347744681,1.19852155517834e+16
64,32,1,1,1,2048,1,2048,64,1,128,128,128,32,2,1,2,16,1,1,1,1,1,1,16,16,16,13967.002480204257,1.4602130797463046e+17,584.846610519149,4941789629179744.0,6104.622066927661,6.454143295599574e+16,0.21612936170212768,3795823361855.848,1172.263347744681,1.1985264963373674e+16
64,4096,1,1,1,4096,1,1024,128,1,1,128,128,32,1,1,4,8,1,1,1,1,1,1,16,16,16,13967.002480204257,1.5072582930460115e+17,584.846610519149,1.6203844055643638e+16,6104.622066927661,6.126267876074095e+16,0.21612936170212768,3795823361855.848,1172.263347744681,1.1985240257390044e+16
16,128,1,1,1,2048,1,4096,512,4,32,128,128,32,2,1,1,2,1,1,1,1,1,1,16,16,16,13967.002480204257,1.5887770253014742e+17,584.846610519149,4797558679129532.0,6104.622066927661,7.109894134650534e+16,0.21612936170212768,3795823361855.848,1172.263347744681,1.1870873687921646e+16
16,64,1,1,1,2048,1,4096,128,4,64,128,128,32,2,1,1,8,1,1,1,1,1,1,16,16,16,13967.002480204257,1.5870062698057632e+17,584.846610519149,4620483129558440.0,6104.622066927661,7.109894134650534e+16,0.21612936170212768,3795823361855.848,1172.263347744681,1.1870873687921646e+16
64,128,1,1,1,2048,1,1024,256,1,32,128,128,32,2,1,4,4,1,1,1,1,1,1,16,16,16,13967.002480204257,1.396269271338922e+17,584.846610519149,5104941884934669.0,6104.622066927661,6.126267876074095e+16,0.21612936170212768,3795823361855.848,1172.263347744681,1.1985240257390044e+16
64,256,1,1,1,1024,1,4096,1024,1,16,128,128,32,4,1,1,1,1,1,1,1,1,1,16,16,16,13967.002480204257,1.5964167319808982e+17,584.846610519149,5561554052678565.0,6104.622066927661,7.109894134650534e+16,0.21612936170212768,3795823361855.848,1172.263347744681,1.1870848982315e+16
64,256,1,1,1,4096,1,512,64,1,16,128,128,32,1,1,8,16,1,1,1,1,1,1,16,16,16,13967.002480204257,1.3706092542489376e+17,584.846610519149,5817706724182847.0,6104.622066927661,5.962330166311355e+16,0.21612936170212768,3795823361855.848,1172.263347744681,1.1985227904398232e+16
64,128,1,1,1,2048,1,4096,32,1,32,128,128,32,2,1,1,32,1,1,1,1,1,1,16,16,16,13967.002480204257,1.5302121809154026e+17,584.846610519149,5412325090739807.0,6104.622066927661,6.786327886242117e+16,0.21612936170212768,3795823361855.848,1172.263347744681,1.1870947805872532e+16
16,4096,1,1,1,4096,1,2048,256,4,1,128,128,32,1,1,2,4,1,1,1,1,1,1,16,16,16,13967.002480204257,1.566173283962078e+17,584.846610519149,1.5537847109732508e+16,6104.622066927661,6.454143295599574e+16,0.21612936170212768,3795823361855.848,1172.263347744681,1.1985227904398232e+16
64,32,1,1,1,1024,1,2048,1024,1,128,128,128,32,4,1,2,1,1,1,1,1,1,1,16,16,16,13967.002480204257,1.4581633642583677e+17,584.846610519149,4736867491976319.0,6104.622066927661,6.454143295599574e+16,0.21612936170212768,3795823361855.848,1172.263347744681,1.19852155517834e+16
64,64,1,1,1,1024,1,4096,128,1,64,128,128,32,4,1,1,8,1,1,1,1,1,1,16,16,16,13967.002480204257,1.5911054537293408e+17,584.846610519149,5030327403965290.0,6104.622066927661,7.109894134650534e+16,0.21612936170212768,3795823361855.848,1172.263347744681,1.1870947805872532e+16
64,4096,1,1,1,2048,1,1024,512,1,1,128,128,32,2,1,4,2,1,1,1,1,1,1,16,16,16,13967.002480204257,1.503404300415089e+17,584.846610519149,1.581844479255137e+16,6104.622066927661,6.126267876074095e+16,0.21612936170212768,3795823361855.848,1172.263347744681,1.1985240257390044e+16
64,4096,1,1,1,2048,1,4096,256,1,1,128,128,32,2,1,1,4,1,1,1,1,1,1,16,16,16,13967.002480204257,1.6372246683127725e+17,584.846610519149,1.61135738304768e+16,6104.622066927661,6.786327886242117e+16,0.21612936170212768,3795823361855.848,1172.263347744681,1.1870947805872532e+16
32,4096,1,1,1,4096,1,2048,1024,2,1,128,128,32,1,1,2,1,1,1,1,1,1,1,16,16,16,13967.002480204257,1.5687346871509725e+17,584.846610519149,1.5793999781236788e+16,6104.622066927661,6.454143295599574e+16,0.21612936170212768,3795823361855.848,1172.263347744681,1.19852155517834e+16
64,64,1,1,1,2048,1,4096,128,1,64,128,128,32,2,1,1,8,1,1,1,1,1,1,16,16,16,13967.002480204257,1.5284414254196915e+17,584.846610519149,5235249541168715.0,6104.622066927661,6.786327886242117e+16,0.21612936170212768,3795823361855.848,1172.263347744681,1.1870947805872532e+16
64,2048,1,1,1,4096,1,512,128,1,2,128,128,32,1,1,8,8,1,1,1,1,1,1,16,16,16,13967.002480204257,1.4201904081288432e+17,584.846610519149,1.0775822112173416e+16,6104.622066927661,5.962330166311355e+16,0.21612936170212768,3795823361855.848,1172.263347744681,1.1985227904398232e+16
