DRAM.B,DRAM.D,DRAM.E,DRAM.F,DRAM.H,DRAM.M,DRAM.N,DRAM.P,DRAM.S,L3.B,L3.D,L3.E,L3.F,L3.H,L3.M,L3.N,L3.P,L3.S,PE.B,PE.D,PE.E,PE.F,PE.H,PE.M,PE.N,PE.P,PE.S,latency,energy,QKV.latency,QKV.energy,MHA.latency,MHA.energy,LayerNorm.latency,LayerNorm.energy,FFN.latency,FFN.energy
32,64,1,1,1,4096,1,65536,16,2,8,64,64,8,16,1,1,8,1,1,1,1,1,1,16,16,16,611462.2849372596,7.052423619507976e+18,146.21165262978724,1478696694384425.0,203527.19159993195,2.3478289106420383e+18,0.459588629787234,7599716936351.481,292.9944445276596,2970747804205797.0
2,16,1,1,1,32768,1,65536,128,32,32,64,64,8,2,1,1,1,1,1,1,1,1,1,16,16,16,611462.2849372596,7.051789734142887e+18,146.21165262978724,1161852835726931.0,203527.19159993195,2.3478289106420383e+18,0.459588629787234,7599716936351.481,292.9944445276596,2970648980318406.0
32,128,1,1,1,65536,1,16384,64,2,4,64,64,8,1,1,4,2,1,1,1,1,1,1,16,16,16,611462.2849372596,6.070383787536133e+18,146.21165262978724,1890482144615071.8,203527.19159993195,2.0201733928175908e+18,0.459588629787234,7599716936351.481,292.9944445276596,3022323104724511.0
64,4,1,1,1,8192,1,8192,2,1,128,64,64,8,8,1,8,64,1,1,1,1,1,1,16,16,16,611462.2849372596,5.950162904291785e+18,146.21165262978724,1127468588575806.8,203527.19159993195,1.9806084407735007e+18,0.459588629787234,7599716936351.481,292.9944445276596,3022323104724511.0
16,32,1,1,1,65536,1,32768,4,4,16,64,64,8,1,1,2,32,1,1,1,1,1,1,16,16,16,611462.2849372596,6.383979275914566e+18,146.21165262978724,1308024961600940.2,203527.19159993195,2.1250935270657444e+18,0.459588629787234,7599716936351.481,292.9944445276596,3022323104724511.0
64,2,1,1,1,65536,1,2048,4,1,256,64,64,8,1,1,32,32,1,1,1,1,1,1,16,16,16,611462.2849372596,5.832444984049683e+18,146.21165262978724,1286102511599199.8,203527.19159993195,1.941263390430443e+18,0.459588629787234,7599716936351.481,292.9944445276596,3022304575236790.0
64,2,1,1,1,32768,1,65536,64,1,256,64,64,8,2,1,1,2,1,1,1,1,1,1,16,16,16,611462.2849372596,7.013346879733529e+18,146.21165262978724,1282900603205396.2,203527.19159993195,2.3349337955620516e+18,0.459588629787234,7599716936351.481,292.9944445276596,2970846628140310.0
64,4,1,1,1,2048,1,32768,32,1,128,64,64,8,32,1,2,4,1,1,1,1,1,1,16,16,16,611462.2849372596,6.422342079545103e+18,146.21165262978724,1146680038938627.8,203527.19159993195,2.137988642145731e+18,0.459588629787234,7599716936351.481,292.9944445276596,3022397222675396.5
16,2,1,1,1,8192,1,65536,2,4,256,64,64,8,8,1,1,64,1,1,1,1,1,1,16,16,16,611462.2849372596,7.051686122395152e+18,146.21165262978724,1109997549940006.5,203527.19159993195,2.3478289106420383e+18,0.459588629787234,7599716936351.481,292.9944445276596,2970698392238540.0
2,128,1,1,1,65536,1,32768,32,32,4,64,64,8,1,1,2,4,1,1,1,1,1,1,16,16,16,611462.2849372596,6.423614964422698e+18,146.21165262978724,1783218213422654.0,203527.19159993195,2.137988642145731e+18,0.459588629787234,7599716936351.481,292.9944445276596,3022301486988836.0
8,1,1,1,1,65536,1,8192,16,8,512,64,64,8,1,1,8,8,1,1,1,1,1,1,16,16,16,611462.2849372596,5.950052813735889e+18,146.21165262978724,1072444928363742.0,203527.19159993195,1.9806084407735007e+18,0.459588629787234,7599716936351.481,292.9944445276596,3022301486988836.0
4,8,1,1,1,16384,1,65536,2,16,64,64,64,8,4,1,1,64,1,1,1,1,1,1,16,16,16,611462.2849372596,7.051707624890778e+18,146.21165262978724,1120785856727961.5,203527.19159993195,2.3478289106420383e+18,0.459588629787234,7599716936351.481,292.9944445276596,2970661333263097.0
16,512,1,1,1,16384,1,32768,32,4,1,64,64,8,4,1,2,4,1,1,1,1,1,1,16,16,16,611462.2849372596,6.427786392769154e+18,146.21165262978724,3868910768915034.0,203527.19159993195,2.137988642145731e+18,0.459588629787234,7599716936351.481,292.9944445276596,3022323104724511.0
2,2,1,1,1,65536,1,32768,64,32,256,64,64,8,1,1,2,2,1,1,1,1,1,1,16,16,16,611462.2849372596,6.422220494469826e+18,146.21165262978724,1085983236986480.0,203527.19159993195,2.137988642145731e+18,0.459588629787234,7599716936351.481,292.9944445276596,3022301486988836.0
64,4,1,1,1,8192,1,16384,128,1,128,64,64,8,8,1,4,1,1,1,1,1,1,1,16,16,16,611462.2849372596,6.107568671519292e+18,146.21165262978724,1140276222151020.8,203527.19159993195,2.0330685078975775e+18,0.459588629787234,7599716936351.481,292.9944445276596,3022298398788006.0
16,16,1,1,1,8192,1,32768,128,4,32,64,64,8,8,1,2,1,1,1,1,1,1,1,16,16,16,611462.2849372596,6.422397842758056e+18,146.21165262978724,1174660469302145.0,203527.19159993195,2.137988642145731e+18,0.459588629787234,7599716936351.481,292.9944445276596,3022298398788006.0
