DRAM.B,DRAM.D,DRAM.E,DRAM.F,DRAM.H,DRAM.M,DRAM.N,DRAM.P,DRAM.S,L3.B,L3.D,L3.E,L3.F,L3.H,L3.M,L3.N,L3.P,L3.S,PE.B,PE.D,PE.E,PE.F,PE.H,PE.M,PE.N,PE.P,PE.S,latency,energy,QKV.latency,QKV.energy,MHA.latency,MHA.energy,LayerNorm.latency,LayerNorm.energy,FFN.latency,FFN.energy
8,8,1,1,1,4096,1,2048,4,8,64,64,64,8,1,1,2,32,1,1,1,1,1,1,16,16,16,2440.22905572766,2.4213675678019908e+16,9.138228289361702,71449950967786.64,795.0615573787236,7896870551232834.0,0.028724289361702127,474982308521.9676,18.312152782978725,188894605421612.2
64,1,1,1,1,256,1,2048,128,1,512,64,64,8,16,1,2,1,1,1,1,1,1,1,16,16,16,2440.22905572766,2.420482998551107e+16,9.138228289361702,67027876728234.34,795.0615573787236,7896870551232834.0,0.028724289361702127,474982308521.9676,18.312152782978725,188893833406746.75
16,64,1,1,1,4096,1,512,64,4,8,64,64,8,1,1,8,2,1,1,1,1,1,1,16,16,16,2440.22905572766,2.2410912617440348e+16,9.138228289361702,92218424124413.84,795.0615573787236,7282104139622558.0,0.028724289361702127,474982308521.9676,18.312152782978725,188894219390618.0
2,32,1,1,1,4096,1,4096,2,32,16,64,64,8,1,1,1,64,1,1,1,1,1,1,16,16,16,2440.22905572766,2.668008353801803e+16,9.138228289361702,78349532431642.53,795.0615573787236,8716559100046534.0,0.028724289361702127,474982308521.9676,18.312152782978725,185666130736268.0
16,128,1,1,1,1024,1,2048,4,4,4,64,64,8,4,1,2,32,1,1,1,1,1,1,16,16,16,2440.22905572766,2.4295880908906884e+16,9.138228289361702,112551794349285.84,795.0615573787236,7896870551232834.0,0.028724289361702127,474982308521.9676,18.312152782978725,188895377483600.56
64,512,1,1,1,4096,1,128,2,1,1,64,64,8,1,1,32,64,1,1,1,1,1,1,16,16,16,2440.22905572766,2.22704484435879e+16,9.138228289361702,252523741552041.8,795.0615573787236,7128412536719990.0,0.028724289361702127,474982308521.9676,18.312152782978725,188894219390618.0
8,128,1,1,1,2048,1,1024,1,8,4,64,64,8,2,1,4,128,1,1,1,1,1,1,16,16,16,2440.22905572766,2.3065145053852696e+16,9.138228289361702,111951436525447.67,795.0615573787236,7487026276825984.0,0.028724289361702127,474982308521.9676,18.312152782978725,188894219390618.0
32,128,1,1,1,1024,1,1024,16,2,4,64,64,8,4,1,4,8,1,1,1,1,1,1,16,16,16,2440.22905572766,2.3067949039883236e+16,9.138228289361702,113352271447736.72,795.0615573787236,7487026276825984.0,0.028724289361702127,474982308521.9676,18.312152782978725,188895377483600.56
32,8,1,1,1,4096,1,512,16,2,64,64,64,8,1,1,8,8,1,1,1,1,1,1,16,16,16,2440.22905572766,2.2378982168370492e+16,9.138228289361702,76252813558491.9,795.0615573787236,7282104139622558.0,0.028724289361702127,474982308521.9676,18.312152782978725,188894605421612.2
64,32,1,1,1,128,1,2048,8,1,16,64,64,8,32,1,2,16,1,1,1,1,1,1,16,16,16,2440.22905572766,2.423348922805384e+16,9.138228289361702,81351321550833.33,795.0615573787236,7896870551232834.0,0.028724289361702127,474982308521.9676,18.312152782978725,188900009855530.94
64,128,1,1,1,2048,1,2048,16,1,4,64,64,8,2,1,2,8,1,1,1,1,1,1,16,16,16,2440.22905572766,2.431189971561976e+16,9.138228289361702,120556565333794.62,795.0615573787236,7896870551232834.0,0.028724289361702127,474982308521.9676,18.312152782978725,188900009855530.94
4,8,1,1,1,4096,1,1024,32,16,64,64,64,8,1,1,4,4,1,1,1,1,1,1,16,16,16,2440.22905572766,2.2981940384685636e+16,9.138228289361702,70349294957416.67,795.0615573787236,7487026276825984.0,0.028724289361702127,474982308521.9676,18.312152782978725,188894026375120.88
64,8,1,1,1,512,1,4096,4,1,64,64,64,8,8,1,1,32,1,1,1,1,1,1,16,16,16,2440.22905572766,2.6678315465488724e+16,9.138228289361702,77453529206168.23,795.0615573787236,8716559100046534.0,0.028724289361702127,474982308521.9676,18.312152782978725,185678097697088.03
64,1,1,1,1,1024,1,1024,4,1,512,64,64,8,4,1,4,32,1,1,1,1,1,1,16,16,16,2440.22905572766,2.2975303338692184e+16,9.138228289361702,67027876728234.34,795.0615573787236,7487026276825984.0,0.028724289361702127,474982308521.9676,18.312152782978725,188896921607577.38
64,512,1,1,1,1024,1,4096,4,1,1,64,64,8,4,1,1,32,1,1,1,1,1,1,16,16,16,2440.22905572766,2.7022340027618188e+16,9.138228289361702,249465810270900.2,795.0615573787236,8716559100046534.0,0.028724289361702127,474982308521.9676,18.312152782978725,185678097697088.03
32,1,1,1,1,1024,1,4096,16,2,512,64,64,8,4,1,1,8,1,1,1,1,1,1,16,16,16,2440.22905572766,2.665745180754104e+16,9.138228289361702,67027876728234.34,795.0615573787236,8716559100046534.0,0.028724289361702127,474982308521.9676,18.312152782978725,185671921201180.94
8,1,1,1,1,2048,1,2048,32,8,512,64,64,8,2,1,2,4,1,1,1,1,1,1,16,16,16,2440.22905572766,2.4204831529540804e+16,9.138228289361702,67027876728234.34,795.0615573787236,7896870551232834.0,0.028724289361702127,474982308521.9676,18.312152782978725,188894605421612.2
64,512,1,1,1,2048,1,4096,1,1,1,64,64,8,2,1,1,128,1,1,1,1,1,1,16,16,16,2440.22905572766,2.7028743844405796e+16,9.138228289361702,252667718664703.7,795.0615573787236,8716559100046534.0,0.028724289361702127,474982308521.9676,18.312152782978725,185678097697088.03
64,512,1,1,1,512,1,4096,8,1,1,64,64,8,8,1,1,16,1,1,1,1,1,1,16,16,16,2440.22905572766,2.7019138119224384e+16,9.138228289361702,247864856073998.47,795.0615573787236,8716559100046534.0,0.028724289361702127,474982308521.9676,18.312152782978725,185678097697088.03
2,256,1,1,1,2048,1,4096,32,32,2,64,64,8,2,1,1,4,1,1,1,1,1,1,16,16,16,2440.22905572766,2.683462440534351e+16,9.138228289361702,155619966094382.47,795.0615573787236,8716559100046534.0,0.028724289361702127,474982308521.9676,18.312152782978725,185666130736268.0
16,128,1,1,1,512,1,4096,2,4,4,64,64,8,8,1,1,64,1,1,1,1,1,1,16,16,16,2440.22905572766,2.674929394338569e+16,9.138228289361702,112952032898511.28,795.0615573787236,8716559100046534.0,0.028724289361702127,474982308521.9676,18.312152782978725,185668832953227.38
