DRAM.B,DRAM.D,DRAM.E,DRAM.F,DRAM.H,DRAM.M,DRAM.N,DRAM.P,DRAM.S,L3.B,L3.D,L3.E,L3.F,L3.H,L3.M,L3.N,L3.P,L3.S,PE.B,PE.D,PE.E,PE.F,PE.H,PE.M,PE.N,PE.P,PE.S,latency,energy,QKV.latency,QKV.energy,MHA.latency,MHA.energy,LayerNorm.latency,LayerNorm.energy,FFN.latency,FFN.energy
64,64,1,1,1,32768,1,8192,4,1,16,64,64,16,2,1,8,64,1,1,1,1,1,1,16,16,16,815867.1123390639,7.939990505825885e+18,584.846610519149,5420359392846506.0,407054.3831998639,3.9612168815470013e+18,0.8879430808510639,15190210772543.209,1170.835499574468,1.209081270671848e+16
8,256,1,1,1,32768,1,32768,128,8,4,64,64,16,2,1,2,2,1,1,1,1,1,1,16,16,16,815867.1123390639,8.57125196419642e+18,584.846610519149,7161036980443186.0,407054.3831998639,4.275977284291462e+18,0.8879430808510639,15190210772543.209,1170.835499574468,1.209078800073485e+16
16,256,1,1,1,16384,1,65536,16,4,4,64,64,16,4,1,1,16,1,1,1,1,1,1,16,16,16,815867.1123390639,9.410468603450468e+18,584.846610519149,7237882781894470.0,407054.3831998639,4.695657821284077e+18,0.8879430808510639,15190210772543.209,1170.835499574468,1.1869507468101736e+16
64,128,1,1,1,8192,1,32768,256,1,8,64,64,16,8,1,2,1,1,1,1,1,1,1,16,16,16,815867.1123390639,8.570065872498315e+18,584.846610519149,5974969988228305.0,407054.3831998639,4.275977284291462e+18,0.8879430808510639,15190210772543.209,1170.835499574468,1.2090763294845468e+16
16,256,1,1,1,65536,1,16384,8,4,4,64,64,16,1,1,4,32,1,1,1,1,1,1,16,16,16,815867.1123390639,8.151725118806708e+18,584.846610519149,7314728583345754.0,407054.3831998639,4.066137015795155e+18,0.8879430808510639,15190210772543.209,1170.835499574468,1.209078800073485e+16
32,64,1,1,1,32768,1,65536,2,2,16,64,64,16,2,1,1,128,1,1,1,1,1,1,16,16,16,815867.1123390639,9.408599948351054e+18,584.846610519149,5369128858545650.0,407054.3831998639,4.695657821284077e+18,0.8879430808510639,15190210772543.209,1170.835499574468,1.186960629203625e+16
64,16,1,1,1,65536,1,4096,128,1,64,64,64,16,1,1,16,2,1,1,1,1,1,1,16,16,16,815867.1123390639,7.83492334923029e+18,584.846610519149,5273361751389653.0,407054.3831998639,3.9087568144229243e+18,0.8879430808510639,15190210772543.209,1170.835499574468,1.209078800073485e+16
16,32,1,1,1,65536,1,65536,4,4,32,64,64,16,1,1,1,64,1,1,1,1,1,1,16,16,16,815867.1123390639,9.408143237359376e+18,584.846610519149,4912516690801754.0,407054.3831998639,4.695657821284077e+18,0.8879430808510639,15190210772543.209,1170.835499574468,1.1869507468101736e+16
32,256,1,1,1,32768,1,16384,256,2,4,64,64,16,2,1,4,1,1,1,1,1,1,1,16,16,16,815867.1123390639,8.151750709367969e+18,584.846610519149,7340343850496183.0,407054.3831998639,4.066137015795155e+18,0.8879430808510639,15190210772543.209,1170.835499574468,1.2090763294845468e+16
64,16,1,1,1,4096,1,32768,32,1,64,64,64,16,16,1,2,8,1,1,1,1,1,1,16,16,16,815867.1123390639,8.568775310764792e+18,584.846610519149,4684210606929806.0,407054.3831998639,4.275977284291462e+18,0.8879430808510639,15190210772543.209,1170.835499574468,1.209096094262025e+16
64,128,1,1,1,32768,1,16384,2,1,8,64,64,16,2,1,4,128,1,1,1,1,1,1,16,16,16,815867.1123390639,8.150590356466745e+18,584.846610519149,6179892125431730.0,407054.3831998639,4.066137015795155e+18,0.8879430808510639,15190210772543.209,1170.835499574468,1.2090862118685736e+16
16,128,1,1,1,65536,1,32768,32,4,8,64,64,16,1,1,2,8,1,1,1,1,1,1,16,16,16,815867.1123390639,8.570014691375887e+18,584.846610519149,5923739453927448.0,407054.3831998639,4.275977284291462e+18,0.8879430808510639,15190210772543.209,1170.835499574468,1.209081270671848e+16
32,16,1,1,1,16384,1,65536,64,2,64,64,64,16,4,1,1,4,1,1,1,1,1,1,16,16,16,815867.1123390639,9.40796626063374e+18,584.846610519149,4735441141230662.0,407054.3831998639,4.695657821284077e+18,0.8879430808510639,15190210772543.209,1170.835499574468,1.186960629203625e+16
16,512,1,1,1,8192,1,65536,2,4,2,64,64,16,8,1,1,128,1,1,1,1,1,1,16,16,16,815867.1123390639,9.413276196976456e+18,584.846610519149,1.0045476307881512e+16,407054.3831998639,4.695657821284077e+18,0.8879430808510639,15190210772543.209,1170.835499574468,1.1869507468101736e+16
32,64,1,1,1,16384,1,16384,2,2,16,64,64,16,4,1,4,128,1,1,1,1,1,1,16,16,16,815867.1123390639,8.149523391116387e+18,584.846610519149,5112976187041369.0,407054.3831998639,4.066137015795155e+18,0.8879430808510639,15190210772543.209,1170.835499574468,1.209081270671848e+16
16,4,1,1,1,65536,1,16384,32,4,256,64,64,16,1,1,4,8,1,1,1,1,1,1,16,16,16,815867.1123390639,8.148936178900963e+18,584.846610519149,4525788677601059.0,407054.3831998639,4.066137015795155e+18,0.8879430808510639,15190210772543.209,1170.835499574468,1.209078800073485e+16
