DRAM.B,DRAM.D,DRAM.E,DRAM.F,DRAM.H,DRAM.M,DRAM.N,DRAM.P,DRAM.S,L3.B,L3.D,L3.E,L3.F,L3.H,L3.M,L3.N,L3.P,L3.S,PE.B,PE.D,PE.E,PE.F,PE.H,PE.M,PE.N,PE.P,PE.S,latency,energy,QKV.latency,QKV.energy,MHA.latency,MHA.energy,LayerNorm.latency,LayerNorm.energy,FFN.latency,FFN.energy
16,1024,1,1,1,16384,1,8192,256,4,1,64,64,16,1,1,2,1,1,1,1,1,1,1,16,16,16,51321.81273926809,5.382011323026393e+17,146.21165262978724,3891339790669257.5,25441.113127217024,2.6563785422173194e+17,0.22198577021276597,3797552693135.8022,292.708874893617,3022691410426830.0
32,128,1,1,1,8192,1,16384,8,2,8,64,64,16,2,1,1,32,1,1,1,1,1,1,16,16,16,51321.81273926809,5.882339281494813e+17,146.21165262978724,1519357764207504.5,25441.113127217024,2.918678877837703e+17,0.22198577021276597,3797552693135.8022,292.708874893617,2967402159653841.0
16,64,1,1,1,16384,1,2048,16,4,16,64,64,16,1,1,8,16,1,1,1,1,1,1,16,16,16,51321.81273926809,4.962589988457955e+17,146.21165262978724,1294253588729359.8,25441.113127217024,2.4596532905020314e+17,0.22198577021276597,3797552693135.8022,292.708874893617,3022694498580538.0
8,128,1,1,1,16384,1,8192,16,8,8,64,64,16,1,1,2,16,1,1,1,1,1,1,16,16,16,51321.81273926809,5.357587144679155e+17,146.21165262978724,1448915779543827.0,25441.113127217024,2.6563785422173194e+17,0.22198577021276597,3797552693135.8022,292.708874893617,3022697586828491.0
64,512,1,1,1,16384,1,8192,128,1,2,64,64,16,1,1,2,2,1,1,1,1,1,1,16,16,16,51321.81273926809,5.111600447157062e+17,146.21165262978724,2735502664536624.0,25441.113127217024,2.5269520428539517e+17,0.22198577021276597,3797552693135.8022,292.708874893617,3022740822299841.0
32,1024,1,1,1,4096,1,4096,2,2,1,64,64,16,4,1,4,128,1,1,1,1,1,1,16,16,16,51321.81273926809,5.119573240576293e+17,146.21165262978724,3877552754800078.5,25441.113127217024,2.5252283744071274e+17,0.22198577021276597,3797552693135.8022,292.708874893617,3022703763324398.5
16,16,1,1,1,4096,1,16384,2,4,64,64,64,16,4,1,1,128,1,1,1,1,1,1,16,16,16,51321.81273926809,5.878599830638723e+17,146.21165262978724,1145437384582023.5,25441.113127217024,2.918678877837703e+17,0.22198577021276597,3797552693135.8022,292.708874893617,2967377453670212.5
16,16,1,1,1,16384,1,2048,128,4,64,64,64,16,1,1,8,2,1,1,1,1,1,1,16,16,16,51321.81273926809,4.961261921836172e+17,146.21165262978724,1161446926551041.0,25441.113127217024,2.4596532905020314e+17,0.22198577021276597,3797552693135.8022,292.708874893617,3022694498580538.0
64,128,1,1,1,8192,1,4096,128,1,8,64,64,16,2,1,4,2,1,1,1,1,1,1,16,16,16,51321.81273926809,5.09624756687179e+17,146.21165262978724,1544973031357932.5,25441.113127217024,2.5252283744071274e+17,0.22198577021276597,3797552693135.8022,292.708874893617,3022716116316212.5
64,64,1,1,1,512,1,16384,64,1,16,64,64,16,32,1,1,4,1,1,1,1,1,1,16,16,16,51321.81273926809,5.880633058286651e+17,146.21165262978724,1348686031424019.5,25441.113127217024,2.918678877837703e+17,0.22198577021276597,3797552693135.8022,292.708874893617,2967451571621098.0
64,128,1,1,1,1024,1,8192,4,1,8,64,64,16,16,1,2,64,1,1,1,1,1,1,16,16,16,51321.81273926809,5.357907767873249e+17,146.21165262978724,1480934863481862.0,25441.113127217024,2.6563785422173194e+17,0.22198577021276597,3797552693135.8022,292.708874893617,3022740822299841.0
16,8,1,1,1,2048,1,16384,8,4,128,64,64,16,8,1,1,32,1,1,1,1,1,1,16,16,16,51321.81273926809,5.878314448033883e+17,146.21165262978724,1116899124098030.0,25441.113127217024,2.918678877837703e+17,0.22198577021276597,3797552693135.8022,292.708874893617,2967377453670212.5
64,32,1,1,1,512,1,16384,8,1,32,64,64,16,32,1,1,32,1,1,1,1,1,1,16,16,16,51321.81273926809,5.879747680538796e+17,146.21165262978724,1260148256638473.5,25441.113127217024,2.918678877837703e+17,0.22198577021276597,3797552693135.8022,292.708874893617,2967451571621098.0
64,8,1,1,1,8192,1,1024,32,1,128,64,64,16,2,1,16,8,1,1,1,1,1,1,16,16,16,51321.81273926809,4.896009848803538e+17,146.21165262978724,1193744925549314.2,25441.113127217024,2.4268657485494832e+17,0.22198577021276597,3797552693135.8022,292.708874893617,3022697586828491.0
16,32,1,1,1,4096,1,16384,16,4,32,64,64,16,4,1,1,16,1,1,1,1,1,1,16,16,16,51321.81273926809,5.87904251951265e+17,146.21165262978724,1189706271974796.2,25441.113127217024,2.918678877837703e+17,0.22198577021276597,3797552693135.8022,292.708874893617,2967377453670212.5
32,64,1,1,1,16384,1,4096,32,2,16,64,64,16,1,1,4,8,1,1,1,1,1,1,16,16,16,51321.81273926809,5.094348611510409e+17,146.21165262978724,1355089848211626.5,25441.113127217024,2.5252283744071274e+17,0.22198577021276597,3797552693135.8022,292.708874893617,3022703763324398.5
32,32,1,1,1,16384,1,1024,256,2,32,64,64,16,1,1,16,1,1,1,1,1,1,1,16,16,16,51321.81273926809,4.896641801266475e+17,146.21165262978724,1256946348244670.0,25441.113127217024,2.4268657485494832e+17,0.22198577021276597,3797552693135.8022,292.708874893617,3022691410426830.0
64,32,1,1,1,16384,1,1024,16,1,32,64,64,16,1,1,16,16,1,1,1,1,1,1,16,16,16,51321.81273926809,4.897698492800447e+17,146.21165262978724,1362609325240186.0,25441.113127217024,2.4268657485494832e+17,0.22198577021276597,3797552693135.8022,292.708874893617,3022697586828491.0
32,16,1,1,1,1024,1,16384,4,2,64,64,64,16,16,1,1,64,1,1,1,1,1,1,16,16,16,51321.81273926809,5.878792192202188e+17,146.21165262978724,1164648834944844.5,25441.113127217024,2.918678877837703e+17,0.22198577021276597,3797552693135.8022,292.708874893617,2967402159653841.0
32,128,1,1,1,8192,1,4096,8,2,8,64,64,16,2,1,4,32,1,1,1,1,1,1,16,16,16,51321.81273926809,5.095607061663111e+17,146.21165262978724,1480934863481862.0,25441.113127217024,2.5252283744071274e+17,0.22198577021276597,3797552693135.8022,292.708874893617,3022703763324398.5
16,128,1,1,1,8192,1,4096,256,4,8,64,64,16,2,1,4,1,1,1,1,1,1,1,16,16,16,51321.81273926809,5.0952867472947546e+17,146.21165262978724,1448915779543827.0,25441.113127217024,2.5252283744071274e+17,0.22198577021276597,3797552693135.8022,292.708874893617,3022691410426830.0
64,1024,1,1,1,8192,1,4096,16,1,1,64,64,16,2,1,4,16,1,1,1,1,1,1,16,16,16,51321.81273926809,5.120469898456476e+17,146.21165262978724,3967206189826576.5,25441.113127217024,2.5252283744071274e+17,0.22198577021276597,3797552693135.8022,292.708874893617,3022716116316212.5
8,128,1,1,1,4096,1,16384,16,8,8,64,64,16,4,1,1,16,1,1,1,1,1,1,16,16,16,51321.81273926809,5.88150641472267e+17,146.21165262978724,1436108145968613.0,25441.113127217024,2.918678877837703e+17,0.22198577021276597,3797552693135.8022,292.708874893617,2967365100678398.5
32,256,1,1,1,16384,1,4096,2,2,4,64,64,16,1,1,4,128,1,1,1,1,1,1,16,16,16,51321.81273926809,5.099660877997542e+17,146.21165262978724,1886316496924902.0,25441.113127217024,2.5252283744071274e+17,0.22198577021276597,3797552693135.8022,292.708874893617,3022703763324398.5
32,512,1,1,1,16384,1,16384,128,2,2,64,64,16,1,1,1,2,1,1,1,1,1,1,16,16,16,51321.81273926809,5.634623121085353e+17,146.21165262978724,2633041595934911.5,25441.113127217024,2.7892523784743357e+17,0.22198577021276597,3797552693135.8022,292.708874893617,2967402159653841.0
32,1024,1,1,1,4096,1,16384,32,2,1,64,64,16,4,1,1,8,1,1,1,1,1,1,16,16,16,51321.81273926809,5.906246166047287e+17,146.21165262978724,3910046219454894.0,25441.113127217024,2.918678877837703e+17,0.22198577021276597,3797552693135.8022,292.708874893617,2967402159653841.0
16,8,1,1,1,16384,1,4096,128,4,128,64,64,16,1,1,4,2,1,1,1,1,1,1,16,16,16,51321.81273926809,5.0922227951758176e+17,146.21165262978724,1142514391248458.0,25441.113127217024,2.5252283744071274e+17,0.22198577021276597,3797552693135.8022,292.708874893617,3022697586828491.0
64,128,1,1,1,16384,1,512,16,1,8,64,64,16,1,1,32,16,1,1,1,1,1,1,16,16,16,51321.81273926809,4.8675350341250477e+17,146.21165262978724,1625020741203020.2,25441.113127217024,2.4104719775732093e+17,0.22198577021276597,3797552693135.8022,292.708874893617,3022694498580538.0
64,256,1,1,1,16384,1,1024,256,1,4,64,64,16,1,1,16,1,1,1,1,1,1,1,16,16,16,51321.81273926809,4.903896075271418e+17,146.21165262978724,1982373748739007.5,25441.113127217024,2.4268657485494832e+17,0.22198577021276597,3797552693135.8022,292.708874893617,3022691410426830.0
8,256,1,1,1,16384,1,8192,8,8,4,64,64,16,1,1,2,32,1,1,1,1,1,1,16,16,16,51321.81273926809,5.361128655670577e+17,146.21165262978724,1803066878686010.5,25441.113127217024,2.6563785422173194e+17,0.22198577021276597,3797552693135.8022,292.708874893617,3022697586828491.0
32,128,1,1,1,2048,1,16384,16,2,8,64,64,16,8,1,1,16,1,1,1,1,1,1,16,16,16,51321.81273926809,5.881955052487557e+17,146.21165262978724,1480934863481862.0,25441.113127217024,2.918678877837703e+17,0.22198577021276597,3797552693135.8022,292.708874893617,2967402159653841.0
64,32,1,1,1,16384,1,512,32,1,32,64,64,16,1,1,32,8,1,1,1,1,1,1,16,16,16,51321.81273926809,4.8648789008814816e+17,146.21165262978724,1359407416846382.5,25441.113127217024,2.4104719775732093e+17,0.22198577021276597,3797552693135.8022,292.708874893617,3022694498580538.0
16,32,1,1,1,8192,1,8192,2,4,32,64,64,16,2,1,2,128,1,1,1,1,1,1,16,16,16,51321.81273926809,5.3549951113684243e+17,146.21165262978724,1189706271974796.2,25441.113127217024,2.6563785422173194e+17,0.22198577021276597,3797552693135.8022,292.708874893617,3022703763324398.5
32,32,1,1,1,8192,1,8192,128,2,32,64,64,16,2,1,2,2,1,1,1,1,1,1,16,16,16,51321.81273926809,5.355379463905599e+17,146.21165262978724,1228129172700438.5,25441.113127217024,2.6563785422173194e+17,0.22198577021276597,3797552693135.8022,292.708874893617,3022716116316212.5
32,512,1,1,1,2048,1,8192,16,2,2,64,64,16,8,1,2,16,1,1,1,1,1,1,16,16,16,51321.81273926809,5.368275901116175e+17,146.21165262978724,2517772893757985.0,25441.113127217024,2.6563785422173194e+17,0.22198577021276597,3797552693135.8022,292.708874893617,3022716116316212.5
64,32,1,1,1,16384,1,1024,64,1,32,64,64,16,1,1,16,4,1,1,1,1,1,1,16,16,16,51321.81273926809,4.897698492800447e+17,146.21165262978724,1362609325240186.0,25441.113127217024,2.4268657485494832e+17,0.22198577021276597,3797552693135.8022,292.708874893617,3022697586828491.0
64,128,1,1,1,16384,1,1024,128,1,8,64,64,16,1,1,16,2,1,1,1,1,1,1,16,16,16,51321.81273926809,4.900354626044013e+17,146.21165262978724,1628222649596824.0,25441.113127217024,2.4268657485494832e+17,0.22198577021276597,3797552693135.8022,292.708874893617,3022697586828491.0
16,16,1,1,1,2048,1,16384,16,4,64,64,64,16,8,1,1,16,1,1,1,1,1,1,16,16,16,51321.81273926809,5.878535792470847e+17,146.21165262978724,1139033567794416.2,25441.113127217024,2.918678877837703e+17,0.22198577021276597,3797552693135.8022,292.708874893617,2967377453670212.5
64,64,1,1,1,1024,1,8192,16,1,16,64,64,16,16,1,2,16,1,1,1,1,1,1,16,16,16,51321.81273926809,5.3561370123775386e+17,146.21165262978724,1303859313910770.2,25441.113127217024,2.6563785422173194e+17,0.22198577021276597,3797552693135.8022,292.708874893617,3022740822299841.0
8,1024,1,1,1,8192,1,8192,128,8,1,64,64,16,2,1,2,2,1,1,1,1,1,1,16,16,16,51321.81273926809,5.3816813999280896e+17,146.21165262978724,3858341304437257.0,25441.113127217024,2.6563785422173194e+17,0.22198577021276597,3797552693135.8022,292.708874893617,3022697586828491.0
32,512,1,1,1,8192,1,4096,16,2,2,64,64,16,2,1,4,16,1,1,1,1,1,1,16,16,16,51321.81273926809,5.1062315946373766e+17,146.21165262978724,2543388160908413.0,25441.113127217024,2.5252283744071274e+17,0.22198577021276597,3797552693135.8022,292.708874893617,3022703763324398.5
32,256,1,1,1,8192,1,8192,128,2,4,64,64,16,2,1,2,2,1,1,1,1,1,1,16,16,16,51321.81273926809,5.361577108140587e+17,146.21165262978724,1847893596199260.0,25441.113127217024,2.6563785422173194e+17,0.22198577021276597,3797552693135.8022,292.708874893617,3022716116316212.5
16,4,1,1,1,4096,1,8192,64,4,256,64,64,16,4,1,2,4,1,1,1,1,1,1,16,16,16,51321.81273926809,5.3540923295032986e+17,146.21165262978724,1099428085462229.5,25441.113127217024,2.6563785422173194e+17,0.22198577021276597,3797552693135.8022,292.708874893617,3022703763324398.5
64,64,1,1,1,1024,1,16384,32,1,16,64,64,16,16,1,1,8,1,1,1,1,1,1,16,16,16,51321.81273926809,5.880697096454527e+17,146.21165262978724,1355089848211626.5,25441.113127217024,2.918678877837703e+17,0.22198577021276597,3797552693135.8022,292.708874893617,2967451571621098.0
64,32,1,1,1,16384,1,2048,256,1,32,64,64,16,1,1,8,1,1,1,1,1,1,1,16,16,16,51321.81273926809,4.963337553109402e+17,146.21165262978724,1369013142027793.0,25441.113127217024,2.4596532905020314e+17,0.22198577021276597,3797552693135.8022,292.708874893617,3022691410426830.0
32,2,1,1,1,16384,1,16384,32,2,512,64,64,16,1,1,1,8,1,1,1,1,1,1,16,16,16,51321.81273926809,5.620512413228907e+17,146.21165262978724,1221970810290273.5,25441.113127217024,2.7892523784743357e+17,0.22198577021276597,3797552693135.8022,292.708874893617,2967402159653841.0
32,4,1,1,1,16384,1,16384,16,2,256,64,64,16,1,1,1,16,1,1,1,1,1,1,16,16,16,51321.81273926809,5.620567749338148e+17,146.21165262978724,1227504421214370.0,25441.113127217024,2.7892523784743357e+17,0.22198577021276597,3797552693135.8022,292.708874893617,2967402159653841.0
64,512,1,1,1,8192,1,1024,4,1,2,64,64,16,2,1,16,64,1,1,1,1,1,1,16,16,16,51321.81273926809,4.909954548332261e+17,146.21165262978724,2588214878421662.5,25441.113127217024,2.4268657485494832e+17,0.22198577021276597,3797552693135.8022,292.708874893617,3022697586828491.0
32,64,1,1,1,16384,1,16384,16,2,16,64,64,16,1,1,1,16,1,1,1,1,1,1,16,16,16,51321.81273926809,5.6222278326153766e+17,146.21165262978724,1393512748937268.8,25441.113127217024,2.7892523784743357e+17,0.22198577021276597,3797552693135.8022,292.708874893617,2967402159653841.0
64,2,1,1,1,2048,1,8192,32,1,512,64,64,16,8,1,2,8,1,1,1,1,1,1,16,16,16,51321.81273926809,5.3545496693268205e+17,146.21165262978724,1145125008838989.2,25441.113127217024,2.6563785422173194e+17,0.22198577021276597,3797552693135.8022,292.708874893617,3022740822299841.0
