DRAM.B,DRAM.D,DRAM.E,DRAM.F,DRAM.H,DRAM.M,DRAM.N,DRAM.P,DRAM.S,L3.B,L3.D,L3.E,L3.F,L3.H,L3.M,L3.N,L3.P,L3.S,PE.B,PE.D,PE.E,PE.F,PE.H,PE.M,PE.N,PE.P,PE.S,latency,energy,QKV.latency,QKV.energy,MHA.latency,MHA.energy,LayerNorm.latency,LayerNorm.energy,FFN.latency,FFN.energy
32,1024,1,1,1,256,1,1024,32,2,2,128,128,16,4,1,1,16,1,1,1,1,1,1,16,16,16,792.4849467914895,9127747169990814.0,36.55291315744681,638528242659635.5,190.79621174468087,2120872593737786.0,0.027260187234042554,474549975701.9791,73.4270921531915,742850076789837.0
64,16,1,1,1,1024,1,128,128,1,128,128,128,16,1,1,8,4,1,1,1,1,1,1,16,16,16,792.4849467914895,7438938358817976.0,36.55291315744681,325131746773387.2,190.79621174468087,1762258853631792.5,0.027260187234042554,474549975701.9791,73.4270921531915,749762777248656.8
64,32,1,1,1,512,1,256,64,1,64,128,128,16,2,1,4,8,1,1,1,1,1,1,16,16,16,792.4849467914895,7558873554303441.0,36.55291315744681,308251998940859.2,190.79621174468087,1813489387932648.5,0.027260187234042554,474549975701.9791,73.4270921531915,749764321372633.5
16,256,1,1,1,1024,1,256,128,4,8,128,128,16,1,1,4,4,1,1,1,1,1,1,16,16,16,792.4849467914895,7678589035474377.0,36.55291315744681,368112055712292.56,190.79621174468087,1813489387932648.5,0.027260187234042554,474549975701.9791,73.4270921531915,749762005186668.2
32,512,1,1,1,512,1,512,16,2,4,128,128,16,2,1,2,32,1,1,1,1,1,1,16,16,16,792.4849467914895,8172658148403948.0,36.55291315744681,461452693088543.75,190.79621174468087,1915950456534361.0,0.027260187234042554,474549975701.9791,73.4270921531915,749764321372633.5
32,1024,1,1,1,1024,1,256,16,2,2,128,128,16,1,1,4,32,1,1,1,1,1,1,16,16,16,792.4849467914895,8238634403855861.0,36.55291315744681,648133967841046.1,190.79621174468087,1813489387932648.5,0.027260187234042554,474549975701.9791,73.4270921531915,749762777248656.8
32,256,1,1,1,1024,1,1024,16,2,8,128,128,16,1,1,1,32,1,1,1,1,1,1,16,16,16,792.4849467914895,8634943422003180.0,36.55291315744681,392126368665818.9,190.79621174468087,2120872593737786.0,0.027260187234042554,474549975701.9791,73.4270921531915,742850076789837.0
16,2048,1,1,1,256,1,1024,16,4,1,128,128,16,4,1,1,32,1,1,1,1,1,1,16,16,16,792.4849467914895,9782201736674872.0,36.55291315744681,965758614249618.2,190.79621174468087,2120872593737786.0,0.027260187234042554,474549975701.9791,73.4270921531915,742846988541883.5
16,256,1,1,1,512,1,512,16,4,8,128,128,16,2,1,2,32,1,1,1,1,1,1,16,16,16,792.4849467914895,7976368060222081.0,36.55291315744681,363309193121587.25,190.79621174468087,1915950456534361.0,0.027260187234042554,474549975701.9791,73.4270921531915,749762777248656.8
64,256,1,1,1,256,1,256,64,1,8,128,128,16,4,1,4,8,1,1,1,1,1,1,16,16,16,792.4849467914895,7688199393027718.0,36.55291315744681,372914918302997.9,190.79621174468087,1813489387932648.5,0.027260187234042554,474549975701.9791,73.4270921531915,749764321372633.5
32,16,1,1,1,256,1,512,512,2,128,128,128,16,4,1,2,1,1,1,1,1,1,1,16,16,16,792.4849467914895,7816760461415819.0,36.55291315744681,283506937653941.5,190.79621174468087,1915950456534361.0,0.027260187234042554,474549975701.9791,73.4270921531915,749761233313171.5
8,128,1,1,1,1024,1,1024,128,8,16,128,128,16,1,1,1,4,1,1,1,1,1,1,16,16,16,792.4849467914895,8488762031385310.0,36.55291315744681,319040305728814.3,190.79621174468087,2120872593737786.0,0.027260187234042554,474549975701.9791,73.4270921531915,742845444417906.6
64,512,1,1,1,1024,1,1024,16,1,4,128,128,16,1,1,1,32,1,1,1,1,1,1,16,16,16,792.4849467914895,8888877126017370.0,36.55291315744681,519087044177007.0,190.79621174468087,2120872593737786.0,0.027260187234042554,474549975701.9791,73.4270921531915,742856253285744.0
16,1024,1,1,1,512,1,512,128,4,2,128,128,16,2,1,2,4,1,1,1,1,1,1,16,16,16,792.4849467914895,8507594708935357.0,36.55291315744681,628922517478225.0,190.79621174468087,1915950456534361.0,0.027260187234042554,474549975701.9791,73.4270921531915,749762777248656.8
16,512,1,1,1,512,1,1024,512,4,4,128,128,16,2,1,1,1,1,1,1,1,1,1,16,16,16,792.4849467914895,8760776084658584.0,36.55291315744681,455048876300936.7,190.79621174468087,2120872593737786.0,0.027260187234042554,474549975701.9791,73.4270921531915,742843900482421.5
16,256,1,1,1,1024,1,256,64,4,8,128,128,16,1,1,4,8,1,1,1,1,1,1,16,16,16,792.4849467914895,7678589035474377.0,36.55291315744681,368112055712292.56,190.79621174468087,1813489387932648.5,0.027260187234042554,474549975701.9791,73.4270921531915,749762005186668.2
16,512,1,1,1,1024,1,512,32,4,4,128,128,16,1,1,2,16,1,1,1,1,1,1,16,16,16,792.4849467914895,8166251243368387.0,36.55291315744681,458250784694740.25,190.79621174468087,1915950456534361.0,0.027260187234042554,474549975701.9791,73.4270921531915,749762777248656.8
64,128,1,1,1,512,1,1024,8,1,16,128,128,16,2,1,1,64,1,1,1,1,1,1,16,16,16,792.4849467914895,8572033267359876.0,36.55291315744681,360665114848260.0,190.79621174468087,2120872593737786.0,0.027260187234042554,474549975701.9791,73.4270921531915,742856253285744.0
64,32,1,1,1,512,1,512,512,1,64,128,128,16,2,1,2,1,1,1,1,1,1,1,16,16,16,792.4849467914895,7879058217564869.0,36.55291315744681,314655815728466.25,190.79621174468087,1915950456534361.0,0.027260187234042554,474549975701.9791,73.4270921531915,749761233313171.5
32,1024,1,1,1,512,1,256,256,2,2,128,128,16,2,1,4,2,1,1,1,1,1,1,16,16,16,792.4849467914895,8213019136705433.0,36.55291315744681,635326334265832.0,190.79621174468087,1813489387932648.5,0.027260187234042554,474549975701.9791,73.4270921531915,749762777248656.8
64,1024,1,1,1,512,1,128,512,1,2,128,128,16,2,1,8,1,1,1,1,1,1,1,16,16,16,792.4849467914895,8084939713082322.0,36.55291315744681,648133967841046.1,190.79621174468087,1762258853631792.5,0.027260187234042554,474549975701.9791,73.4270921531915,749761233313171.5
32,8,1,1,1,1024,1,1024,32,2,256,128,128,16,1,1,1,16,1,1,1,1,1,1,16,16,16,792.4849467914895,8463401483356184.0,36.55291315744681,306355399342321.3,190.79621174468087,2120872593737786.0,0.027260187234042554,474549975701.9791,73.4270921531915,742850076789837.0
16,2048,1,1,1,512,1,1024,32,4,1,128,128,16,2,1,1,16,1,1,1,1,1,1,16,16,16,792.4849467914895,9788605553462480.0,36.55291315744681,968960522643421.9,190.79621174468087,2120872593737786.0,0.027260187234042554,474549975701.9791,73.4270921531915,742846988541883.5
8,16,1,1,1,1024,1,512,64,8,128,128,128,16,1,1,2,8,1,1,1,1,1,1,16,16,16,792.4849467914895,7807156279981402.0,36.55291315744681,278704075063236.25,190.79621174468087,1915950456534361.0,0.027260187234042554,474549975701.9791,73.4270921531915,749762005186668.2
16,512,1,1,1,1024,1,512,256,4,4,128,128,16,1,1,2,2,1,1,1,1,1,1,16,16,16,792.4849467914895,8166251243368387.0,36.55291315744681,458250784694740.25,190.79621174468087,1915950456534361.0,0.027260187234042554,474549975701.9791,73.4270921531915,749762777248656.8
