DRAM.B,DRAM.D,DRAM.E,DRAM.F,DRAM.H,DRAM.M,DRAM.N,DRAM.P,DRAM.S,L3.B,L3.D,L3.E,L3.F,L3.H,L3.M,L3.N,L3.P,L3.S,PE.B,PE.D,PE.E,PE.F,PE.H,PE.M,PE.N,PE.P,PE.S,latency,energy,QKV.latency,QKV.energy,MHA.latency,MHA.energy,LayerNorm.latency,LayerNorm.energy,FFN.latency,FFN.energy
16,2048,1,1,1,16384,1,65536,128,4,1,128,128,16,4,1,1,4,1,1,1,1,1,1,16,16,16,2358158.232571643,2.75976598501199e+19,2339.386442076596,6.180855131197557e+16,781357.3562106554,9.12626895702514e+18,1.7446519829787235,30371198444926.664,4699.333897804256,4.754201021415228e+16
32,2048,1,1,1,16384,1,32768,64,2,1,128,128,16,4,1,2,8,1,1,1,1,1,1,16,16,16,2358158.232571643,2.5080966762018087e+19,2339.386442076596,6.206090893774561e+16,781357.3562106554,8.286907883039911e+18,1.7446519829787235,30371198444926.664,4699.333897804256,4.798471951532027e+16
8,2048,1,1,1,32768,1,65536,256,8,1,128,128,16,2,1,1,2,1,1,1,1,1,1,16,16,16,2358158.232571643,2.7597249808197624e+19,2339.386442076596,6.160362917477214e+16,781357.3562106554,9.12626895702514e+18,1.7446519829787235,30371198444926.664,4699.333897804256,4.754191139021776e+16
64,1024,1,1,1,65536,1,65536,64,1,2,128,128,16,1,1,1,8,1,1,1,1,1,1,16,16,16,2358158.232571643,2.7485782054902993e+19,2339.386442076596,4.455440599987833e+16,781357.3562106554,9.100478726865165e+18,1.7446519829787235,30371198444926.664,4699.333897804256,4.754260315775936e+16
64,64,1,1,1,65536,1,65536,16,1,32,128,128,16,1,1,1,32,1,1,1,1,1,1,16,16,16,2358158.232571643,2.744328392300593e+19,2339.386442076596,2.3305340051347304e+16,781357.3562106554,9.100478726865165e+18,1.7446519829787235,30371198444926.664,4699.333897804256,4.754260315775936e+16
64,256,1,1,1,16384,1,16384,512,1,8,128,128,16,4,1,4,1,1,1,1,1,1,1,16,16,16,2358158.232571643,2.3745536047412175e+19,2339.386442076596,2.3866554771391864e+16,781357.3562106554,7.867227346047297e+18,1.7446519829787235,30371198444926.664,4699.333897804256,4.798452186763974e+16
32,2048,1,1,1,32768,1,32768,128,2,1,128,128,16,2,1,2,4,1,1,1,1,1,1,16,16,16,2358158.232571643,2.50817864505669e+19,2339.386442076596,6.2470753212152456e+16,781357.3562106554,8.286907883039911e+18,1.7446519829787235,30371198444926.664,4699.333897804256,4.798471951532027e+16
8,1024,1,1,1,65536,1,32768,32,8,2,128,128,16,1,1,2,16,1,1,1,1,1,1,16,16,16,2358158.232571643,2.50371418077708e+19,2339.386442076596,4.014858005000469e+16,781357.3562106554,8.286907883039911e+18,1.7446519829787235,30371198444926.664,4699.333897804256,4.798457127941851e+16
64,32,1,1,1,32768,1,65536,256,1,64,128,128,16,2,1,1,2,1,1,1,1,1,1,16,16,16,2358158.232571643,2.7438588564414108e+19,2339.386442076596,2.095766075543554e+16,781357.3562106554,9.100478726865165e+18,1.7446519829787235,30371198444926.664,4699.333897804256,4.754260315775936e+16
32,256,1,1,1,65536,1,8192,32,2,8,128,128,16,1,1,8,16,1,1,1,1,1,1,16,16,16,2358158.232571643,2.3117039951432827e+19,2339.386442076596,2.4378860114400424e+16,781357.3562106554,7.657387077550989e+18,1.7446519829787235,30371198444926.664,4699.333897804256,4.798457127941851e+16
32,32,1,1,1,16384,1,65536,128,2,64,128,128,16,4,1,1,4,1,1,1,1,1,1,16,16,16,2358158.232571643,2.7511860021558485e+19,2339.386442076596,1.8908439383401292e+16,781357.3562106554,9.12626895702514e+18,1.7446519829787235,30371198444926.664,4699.333897804256,4.754220786202131e+16
32,1024,1,1,1,65536,1,8192,256,2,2,128,128,16,1,1,8,2,1,1,1,1,1,1,16,16,16,2358158.232571643,2.315103845695048e+19,2339.386442076596,4.137811287322524e+16,781357.3562106554,7.657387077550989e+18,1.7446519829787235,30371198444926.664,4699.333897804256,4.798457127941851e+16
32,128,1,1,1,16384,1,65536,64,2,16,128,128,16,4,1,1,8,1,1,1,1,1,1,16,16,16,2358158.232571643,2.7516109834748195e+19,2339.386442076596,2.103334597825439e+16,781357.3562106554,9.12626895702514e+18,1.7446519829787235,30371198444926.664,4699.333897804256,4.754220786202131e+16
64,64,1,1,1,4096,1,65536,32,1,32,128,128,16,16,1,1,16,1,1,1,1,1,1,16,16,16,2358158.232571643,2.7514506949369754e+19,2339.386442076596,2.0231507993295932e+16,781357.3562106554,9.12626895702514e+18,1.7446519829787235,30371198444926.664,4699.333897804256,4.754260315775936e+16
64,256,1,1,1,65536,1,65536,512,1,8,128,128,16,1,1,1,1,1,1,1,1,1,1,16,16,16,2358158.232571643,2.745178196820277e+19,2339.386442076596,2.7555153241053508e+16,781357.3562106554,9.100478726865165e+18,1.7446519829787235,30371198444926.664,4699.333897804256,4.754181256647174e+16
16,16,1,1,1,65536,1,16384,64,4,128,128,128,16,1,1,4,8,1,1,1,1,1,1,16,16,16,2358158.232571643,2.373429684684986e+19,2339.386442076596,1.824690507845397e+16,781357.3562106554,7.867227346047297e+18,1.7446519829787235,30371198444926.664,4699.333897804256,4.798457127941851e+16
32,512,1,1,1,32768,1,65536,512,2,4,128,128,16,2,1,1,1,1,1,1,1,1,1,16,16,16,2358158.232571643,2.7533927985464734e+19,2339.386442076596,2.994281663207365e+16,781357.3562106554,9.12626895702514e+18,1.7446519829787235,30371198444926.664,4699.333897804256,4.754181256647174e+16
32,128,1,1,1,8192,1,65536,8,2,16,128,128,16,8,1,1,64,1,1,1,1,1,1,16,16,16,2358158.232571643,2.7515699990473785e+19,2339.386442076596,2.082842384105097e+16,781357.3562106554,9.12626895702514e+18,1.7446519829787235,30371198444926.664,4699.333897804256,4.754220786202131e+16
32,512,1,1,1,65536,1,16384,512,2,4,128,128,16,1,1,4,1,1,1,1,1,1,1,16,16,16,2358158.232571643,2.3758098415407948e+19,2339.386442076596,3.014773876927707e+16,781357.3562106554,7.867227346047297e+18,1.7446519829787235,30371198444926.664,4699.333897804256,4.798452186763974e+16
32,16,1,1,1,16384,1,32768,8,2,128,128,128,16,4,1,2,64,1,1,1,1,1,1,16,16,16,2358158.232571643,2.4993133832162304e+19,2339.386442076596,1.8144444009852256e+16,781357.3562106554,8.286907883039911e+18,1.7446519829787235,30371198444926.664,4699.333897804256,4.798471951532027e+16
64,16,1,1,1,32768,1,65536,128,1,128,128,128,16,2,1,1,4,1,1,1,1,1,1,16,16,16,2358158.232571643,2.7437880262215823e+19,2339.386442076596,2.0603509656293356e+16,781357.3562106554,9.100478726865165e+18,1.7446519829787235,30371198444926.664,4699.333897804256,4.754260315775936e+16
